ID,GroupID,PersonID
314,88,210
315,26,135
316,69,14
317,49,181
318,58,941
319,51,526
320,18,516
321,96,417
322,77,654
323,71,545
324,77,333
325,29,957
326,80,496
327,61,927
328,41,838
329,12,513
330,18,658
331,19,384
332,92,964
333,90,61
334,85,566
335,1,814
336,48,323
337,81,235
338,15,369
339,4,395
340,7,525
341,75,722
342,39,411
343,28,686
344,38,453
345,2,672
346,44,970
347,18,871
348,58,999
349,37,922
350,2,152
351,85,915
352,48,707
353,81,538
354,11,529
355,49,140
356,79,222
357,5,336
358,39,89
359,49,892
360,54,430
361,30,252
362,60,426
363,57,147
364,20,266
365,32,516
366,44,885
367,29,35
368,64,60
369,14,518
370,24,37
371,42,245
372,94,709
373,18,393
374,83,941
375,5,44
376,96,423
377,87,219
378,59,117
379,18,645
380,87,886
381,70,161
382,74,299
383,33,650
384,55,479
385,88,130
386,57,39
387,97,709
388,81,885
389,38,753
390,40,839
391,99,174
392,72,552
393,68,478
394,49,538
395,41,151
396,47,777
397,39,84
398,25,261
399,18,136
400,53,852
401,96,207
402,71,370
403,54,880
404,1,616
405,96,381
406,91,196
407,10,947
408,11,22
409,90,276
410,18,989
411,31,291
412,73,830
413,13,273
414,95,470
415,40,299
416,26,826
417,94,843
418,98,153
419,47,532
420,19,43
421,26,893
422,100,620
423,41,640
424,59,120
425,47,373
426,25,727
427,20,277
428,75,351
429,9,773
430,6,422
431,36,698
432,32,119
433,69,809
434,91,419
435,51,17
436,54,571
437,18,65
438,51,774
439,85,702
440,64,958
441,32,597
442,99,41
443,17,913
444,2,622
445,90,659
446,78,769
447,65,767
448,27,599
449,41,991
450,62,310
451,48,610
452,25,702
453,97,503
454,58,481
455,4,541
456,15,363
457,17,178
458,43,780
459,79,778
460,50,534
461,99,422
462,83,276
463,4,752
464,4,297
465,28,87
466,18,613
467,61,534
468,86,570
469,12,85
470,31,516
471,43,745
472,96,272
473,57,502
474,76,860
475,38,284
476,7,32
477,64,711
478,18,800
479,12,571
480,48,708
481,78,990
482,14,904
483,52,639
484,58,201
485,32,320
486,38,299
487,36,307
488,99,441
489,35,781
490,14,316
491,35,578
492,15,651
493,30,816
494,51,748
495,48,483
496,81,493
497,35,862
498,90,214
499,33,55
500,81,24
501,67,266
502,9,292
503,16,545
504,70,667
505,9,2
506,50,899
507,67,402
508,11,690
509,7,204
510,22,958
511,36,812
512,16,997
513,74,501
514,45,269
515,90,292
516,96,464
517,63,913
518,66,158
519,19,762
520,28,491
521,9,646
522,99,252
523,5,18
524,45,634
525,92,815
526,46,281
527,76,154
528,63,936
529,18,224
530,4,691
531,11,263
532,85,182
533,90,764
534,63,376
535,38,500
536,39,391
537,91,147
538,38,879
539,50,377
540,91,560
541,74,257
542,13,191
543,20,404
544,37,923
545,84,148
546,29,395
547,76,237
548,9,178
549,25,432
550,69,839
551,57,448
552,85,883
553,89,743
554,25,786
555,55,482
556,64,519
557,79,377
558,58,509
559,97,878
560,46,891
561,68,291
562,27,435
563,60,521
564,49,882
565,60,705
566,90,522
567,19,980
568,81,928
569,80,243
570,67,589
571,75,324
572,39,629
573,40,620
574,99,133
575,68,277
576,98,364
577,100,276
578,89,514
579,75,598
580,55,701
581,78,388
582,62,619
583,43,904
584,77,38
585,18,677
586,53,24
587,83,903
588,27,505
589,54,721
590,68,34
591,4,404
592,35,950
593,77,278
594,55,573
595,96,192
596,39,809
597,72,40
598,94,98
599,67,314
600,26,998
601,20,395
602,28,347
603,74,160
604,77,900
605,30,780
606,69,54
607,42,518
608,72,619
609,33,265
610,68,843
611,14,13
612,25,285
613,42,985
614,74,786
615,13,616
616,14,837
617,54,445
618,14,295
619,15,805
620,32,352
621,13,51
622,22,523
623,38,126
624,57,614
625,24,127
626,39,975
627,13,586
628,31,444
629,59,860
630,91,933
631,93,326
632,57,689
633,27,70
634,83,240
635,42,158
636,59,752
637,7,415
638,80,628
639,80,46
640,19,24
641,40,828
642,85,675
643,86,641
644,10,67
645,73,256
646,26,851
647,13,757
648,28,730
649,87,640
650,60,779
651,97,520
652,2,472
653,83,750
654,75,975
655,8,863
656,70,138
657,61,257
658,17,521
659,66,468
660,86,684
661,51,258
662,71,213
663,23,978
664,45,597
665,71,833
666,22,1000
667,62,301
668,69,409
669,70,908
670,25,357
671,45,675
672,17,930
673,18,680
674,52,251
675,13,178
676,56,476
677,83,649
678,96,960
679,31,150
680,85,540
681,21,897
682,3,701
683,69,785
684,71,859
685,70,83
686,38,982
687,55,183
688,82,886
689,100,922
690,21,3
691,76,840
692,96,222
693,32,573
694,44,67
695,85,260
696,80,15
697,87,721
698,52,414
699,15,548
700,47,311
701,82,56
702,8,704
703,58,177
704,56,229
705,54,134
706,48,969
707,89,518
708,23,60
709,9,262
710,18,566
711,69,624
712,65,365
713,50,429
714,88,597
715,13,45
716,44,901
717,98,544
718,33,751
719,46,902
720,78,868
721,93,487
722,13,880
723,69,831
724,96,24
725,16,535
726,54,635
727,71,663
728,80,857
729,9,440
730,78,442
731,70,526
732,97,853
733,65,548
734,8,165
735,27,975
736,16,299
737,42,811
738,77,464
739,95,785
740,69,426
741,54,652
742,65,790
743,28,428
744,86,181
745,97,510
746,33,388
747,41,961
748,5,959
749,36,491
750,23,694
751,49,246
752,1,767
753,90,669
754,24,471
755,33,756
756,47,42
757,89,69
758,87,918
759,1,967
760,100,368
761,22,891
762,88,21
763,6,266
764,25,846
765,44,795
766,61,835
767,82,464
768,82,893
769,5,475
770,19,728
771,24,684
772,52,626
773,3,113
774,1,997
775,28,941
776,8,53
777,10,440
778,66,659
779,27,982
780,59,353
781,85,172
782,26,719
783,17,224
784,58,515
785,71,42
786,40,921
787,4,553
788,52,342
789,74,171
790,95,196
791,22,411
792,37,977
793,74,748
794,34,711
795,54,472
796,34,903
797,31,305
798,66,670
799,52,22
800,92,713
801,74,210
802,67,508
803,49,107
804,32,751
805,92,956
806,22,767
807,21,892
808,28,993
809,94,410
810,34,818
811,10,623
812,72,401
813,48,595
814,41,128
815,64,920
816,49,866
817,18,28
818,46,849
819,20,761
820,36,121
821,19,921
822,76,997
823,92,625
824,49,566
825,14,776
826,30,787
827,35,251
828,1,104
829,80,853
830,89,440
831,12,273
832,99,628
833,91,159
834,27,346
835,28,397
836,21,794
837,96,162
838,4,634
839,27,184
840,56,394
841,15,11
842,7,665
843,70,489
844,28,859
845,86,786
846,27,932
847,2,512
848,58,174
849,23,745
850,45,231
851,57,74
852,37,778
853,38,319
854,27,352
855,87,892
856,56,466
857,39,26
858,19,914
859,66,460
860,19,511
861,39,928
862,38,548
863,52,988
864,100,912
865,23,208
866,77,240
867,54,415
868,60,798
869,63,921
870,60,220
871,18,300
872,60,120
873,61,469
874,24,773
875,8,77
876,56,370
877,68,803
878,87,964
879,98,978
880,72,800
881,48,852
882,3,457
883,80,966
884,80,254
885,89,105
886,32,489
887,4,4
888,78,351
889,60,939
890,25,836
891,79,637
892,53,716
893,83,435
894,64,654
895,91,511
896,60,910
897,65,858
898,76,471
899,91,199
900,29,568
901,62,369
902,79,904
903,72,124
904,100,729
905,72,954
906,43,39
907,79,362
908,80,428
909,75,800
910,48,372
911,25,113
912,100,667
913,14,109
914,69,376
915,2,665
916,7,431
917,82,695
918,39,361
919,11,299
920,69,9
921,99,484
922,58,83
923,4,942
924,49,664
925,2,56
926,95,266
927,39,389
928,2,771
929,82,221
930,68,720
931,48,125
932,59,102
933,81,365
934,33,448
935,82,283
936,77,1000
937,60,273
938,62,632
939,68,158
940,11,858
941,97,293
942,8,905
943,14,654
944,26,259
945,38,905
946,60,384
947,54,969
948,60,288
949,73,198
950,88,633
951,60,144
952,12,335
953,11,518
954,97,402
955,50,622
956,25,90
957,25,955
958,28,811
959,35,516
960,31,275
961,41,34
962,98,472
963,100,430
964,90,721
965,87,327
966,36,530
967,53,952
968,7,18
969,48,801
970,33,274
971,54,622
972,20,649
973,46,475
974,20,392
975,77,261
976,65,222
977,57,608
978,10,313
979,90,783
980,41,552
981,48,651
982,52,466
983,96,665
984,8,161
985,46,120
986,34,579
987,97,239
988,40,496
989,74,669
990,36,506
991,20,867
992,50,631
993,91,192
994,19,610
995,4,688
996,80,580
997,95,381
998,9,685
999,96,918
1000,10,40
1001,18,993
1002,61,360
1003,93,771
1004,22,712
1005,75,837
1006,48,300
1007,51,817
1008,78,12
1009,67,824
1010,72,275
1011,63,314
1012,44,139
1013,54,864
1014,70,985
1015,84,681
1016,36,914
1017,95,529
1018,77,421
1019,70,220
1020,47,518
1021,27,675
1022,48,257
1023,49,74
1024,83,394
1025,51,254
1026,75,696
1027,39,528
1028,13,76
1029,33,935
1030,61,333
1031,68,832
1032,7,533
1033,50,737
1034,13,877
1035,100,665
1036,2,73
1037,34,840
1038,78,674
1039,33,118
1040,48,668
1041,38,153
1042,51,742
1043,51,900
1044,14,245
1045,35,279
1046,46,495
1047,34,265
1048,54,775
1049,56,325
1050,82,40
1051,85,79
1052,71,414
1053,82,925
1054,34,583
1055,72,718
1056,28,818
1057,91,780
1058,54,739
1059,77,826
1060,40,444
1061,18,753
1062,67,128
1063,94,39
1064,49,430
1065,82,3
1066,85,149
1067,90,228
1068,87,496
1069,23,653
1070,18,561
1071,80,10
1072,36,368
1073,70,912
1074,43,353
1075,57,935
1076,33,949
1077,90,446
1078,15,962
1079,38,64
1080,71,677
1081,54,943
1082,53,903
1083,76,569
1084,61,86
1085,87,984
1086,50,854
1087,99,937
1088,82,864
1089,3,531
1090,59,782
1091,34,911
1092,95,570
1093,29,488
1094,65,162
1095,93,5
1096,33,825
1097,59,506
1098,50,206
1099,59,113
1100,24,517
1101,100,543
1102,73,36
1103,84,462
1104,85,798
1105,70,287
1106,23,961
1107,22,230
1108,28,804
1109,32,761
1110,16,691
1111,84,803
1112,31,88
1113,84,831
1114,40,681
1115,15,936
1116,59,209
1117,46,720
1118,81,968
1119,11,803
1120,95,142
1121,60,877
1122,39,316
1123,20,188
1124,8,872
1125,52,434
1126,10,758
1127,48,960
1128,40,955
1129,42,414
1130,69,608
1131,70,585
1132,33,140
1133,73,657
1134,96,419
1135,82,873
1136,88,73
1137,66,131
1138,48,914
1139,63,390
1140,58,973
1141,71,303
1142,46,344
1143,65,784
1144,3,929
1145,24,185
1146,29,265
1147,25,738
1148,43,819
1149,46,80
1150,69,727
1151,50,392
1152,62,371
1153,45,258
1154,58,711
1155,63,648
1156,86,891
1157,4,137
1158,26,797
1159,98,123
1160,97,353
1161,59,371
1162,11,43
1163,21,143
1164,5,135
1165,10,980
1166,82,884
1167,98,25
1168,47,284
1169,10,173
1170,41,372
1171,83,622
1172,32,203
1173,70,563
1174,73,565
1175,69,465
1176,53,815
1177,93,331
1178,43,889
1179,13,626
1180,48,310
1181,82,367
1182,83,191
1183,24,61
1184,15,138
1185,59,324
1186,9,517
1187,52,32
1188,80,87
1189,61,340
1190,53,199
1191,9,478
1192,63,309
1193,59,177
1194,84,645
1195,21,597
1196,47,789
1197,46,609
1198,40,227
1199,77,933
1200,8,532
1201,68,32
1202,14,403
1203,17,939
1204,64,183
1205,26,248
1206,38,470
1207,69,645
1208,22,770
1209,29,125
1210,87,819
1211,46,546
1212,5,324
1213,9,900
1214,46,321
1215,39,44
1216,17,327
1217,61,377
1218,13,797
1219,45,443
1220,28,191
1221,48,5
1222,32,216
1223,65,515
1224,24,219
1225,14,539
1226,71,269
1227,99,850
1228,35,376
1229,62,855
1230,67,158
1231,9,247
1232,23,706
1233,56,23
1234,39,817
1235,4,171
1236,37,340
1237,88,472
1238,71,565
1239,55,894
1240,26,966
1241,84,537
1242,69,190
1243,8,911
1244,47,3
1245,55,814
1246,97,62
1247,95,787
1248,59,416
1249,52,985
1250,17,223
1251,49,886
1252,82,733
1253,33,286
1254,63,749
1255,77,84
1256,38,915
1257,46,608
1258,80,520
1259,77,78
1260,41,742
1261,27,101
1262,42,238
1263,40,994
1264,39,560
1265,41,915
1266,68,922
1267,90,463
1268,28,162
1269,1,524
1270,9,803
1271,70,879
1272,33,768
1273,12,300
1274,74,779
1275,8,889
1276,29,909
1277,69,171
1278,49,112
1279,61,722
1280,36,161
1281,3,510
1282,81,106
1283,34,641
1284,16,300
1285,45,952
1286,68,936
1287,28,300
1288,39,946
1289,75,874
1290,5,242
1291,54,113
1292,89,920
1293,67,401
1294,59,687
1295,88,6
1296,68,854
1297,51,778
1298,37,972
1299,9,512
1300,45,5
1301,5,279
1302,1,269
1303,39,775
1304,43,660
1305,24,38
1306,58,32
1307,96,810
1308,32,906
1309,86,138
1310,39,907
1311,90,189
1312,52,767
1313,92,165
1314,10,484
1315,28,220
1316,16,823
1317,30,100
1318,63,206
1319,36,55
1320,10,725
1321,37,475
1322,91,339
1323,33,353
1324,58,332
1325,11,781
1326,88,95
1327,3,214
1328,3,562
1329,98,11
1330,93,963
1331,66,442
1332,21,155
1333,7,669
1334,14,535
1335,63,160
1336,64,509
1337,50,172
1338,100,782
1339,64,315
1340,55,395
1341,85,558
1342,18,404
1343,69,235
1344,75,702
1345,33,895
1346,71,504
1347,33,982
1348,84,167
1349,35,815
1350,23,411
1351,89,702
1352,13,402
1353,26,261
1354,30,679
1355,59,388
1356,46,888
1357,30,268
1358,75,258
1359,25,634
1360,100,716
1361,6,948
1362,77,991
1363,51,874
1364,40,31
1365,5,223
1366,2,289
1367,13,744
1368,6,51
1369,20,641
1370,92,708
1371,92,166
1372,39,948
1373,94,847
1374,72,849
1375,9,702
1376,55,825
1377,60,662
1378,79,284
1379,6,336
1380,41,273
1381,66,857
1382,79,818
1383,66,525
1384,60,436
1385,9,988
1386,79,467
1387,23,281
1388,67,865
1389,35,23
1390,44,969
1391,66,628
1392,42,352
1393,37,743
1394,73,878
1395,19,30
1396,8,209
1397,91,911
1398,57,306
1399,63,868
1400,97,960
1401,42,696
1402,51,103
1403,3,121
1404,99,952
1405,79,488
1406,39,235
1407,58,573
1408,26,457
1409,62,832
1410,38,671
1411,45,726
1412,95,971
1413,44,327
1414,93,199
1415,36,552
1416,77,855
1417,58,51
1418,15,184
1419,51,287
1420,15,218
1421,98,337
1422,70,41
1423,87,841
1424,53,355
1425,26,55
1426,64,797
1427,41,456
1428,40,174
1429,39,718
1430,6,322
1431,85,165
1432,29,135
1433,35,837
1434,83,149
1435,79,794
1436,64,460
1437,78,30
1438,84,800
1439,51,357
1440,80,205
1441,64,487
1442,44,182
1443,32,245
1444,24,409
1445,18,197
1446,92,655
1447,90,808
1448,91,509
1449,63,199
1450,91,404
1451,27,522
1452,18,178
1453,86,927
1454,74,479
1455,19,866
1456,71,164
1457,19,510
1458,89,720
1459,15,481
1460,65,339
1461,10,607
1462,86,219
1463,8,248
1464,63,95
1465,13,850
1466,14,38
1467,96,782
1468,20,23
1469,58,278
1470,52,226
1471,40,730
1472,35,291
1473,17,487
1474,6,114
1475,94,635
1476,76,638
1477,13,498
1478,39,471
1479,38,218
1480,27,321
1481,20,204
1482,67,754
1483,8,47
1484,69,394
1485,12,20
1486,97,809
1487,93,349
1488,37,548
1489,99,244
1490,43,385
1491,4,182
1492,7,231
1493,69,499
1494,99,386
1495,40,136
1496,60,301
1497,57,392
1498,65,19
1499,59,92
1500,85,858
