ID,TrustID,AccountID
636,68,309
637,61,157
638,289,292
639,42,127
640,92,25
641,110,136
642,83,65
643,100,208
644,27,336
645,230,274
646,166,244
647,138,144
648,151,409
649,84,213
650,213,394
651,60,337
652,219,13
653,137,430
654,33,178
655,240,34
656,174,466
657,17,240
658,17,95
659,4,335
660,12,279
661,117,136
662,24,336
663,102,217
664,85,223
665,7,239
666,284,47
667,73,142
668,78,473
669,92,365
670,26,136
671,7,391
672,165,488
673,56,16
674,60,437
675,24,318
676,75,201
677,106,279
678,131,71
679,202,118
680,151,16
681,276,217
682,51,82
683,250,336
684,300,399
685,214,121
686,13,443
687,91,117
688,71,228
689,99,366
690,90,54
691,66,96
692,71,23
693,55,141
694,97,129
695,211,429
696,224,263
697,17,333
698,1,110
699,136,148
700,13,235
701,150,378
702,20,198
703,20,57
704,136,176
705,114,336
706,269,463
707,267,131
708,161,303
709,39,135
710,107,321
711,130,334
712,78,42
713,92,169
714,136,473
715,13,287
716,13,155
717,270,135
718,58,105
719,242,172
720,31,254
721,86,127
722,250,315
723,257,398
724,184,416
725,206,210
726,15,475
727,290,123
728,17,301
729,98,65
730,242,138
731,20,36
732,98,389
733,137,440
734,162,373
735,211,323
736,58,208
737,3,5
738,231,419
739,42,485
740,294,185
741,289,430
742,46,378
743,99,459
744,5,370
745,263,420
746,136,335
747,126,357
748,106,172
749,96,453
750,5,128
751,278,242
752,209,328
753,294,483
754,212,361
755,148,184
756,25,34
757,175,37
758,85,1
759,141,238
760,89,335
761,23,132
762,100,438
763,59,394
764,139,201
765,138,235
766,83,62
767,96,491
768,233,231
769,196,170
770,269,343
771,222,152
772,243,247
773,22,340
774,134,102
775,173,493
776,280,267
777,10,265
778,57,29
779,255,271
780,219,395
781,132,500
782,244,120
783,178,131
784,49,477
785,54,77
786,138,290
787,93,214
788,221,140
789,102,237
790,72,473
791,73,61
792,13,385
793,277,49
794,255,371
795,209,437
796,212,204
797,98,324
798,97,134
799,20,44
800,74,400
801,167,299
802,185,406
803,1,198
804,79,115
805,95,364
806,137,90
807,296,157
808,186,482
809,259,304
810,37,221
811,74,171
812,29,376
813,221,439
814,158,323
815,208,193
816,216,121
817,213,152
818,13,391
819,55,445
820,181,353
821,136,106
822,264,364
823,269,303
824,10,225
825,182,354
826,74,153
827,249,182
828,175,216
829,13,3
830,203,409
831,180,473
832,97,472
833,295,210
834,263,341
835,168,351
836,137,80
837,241,108
838,277,384
839,255,52
840,49,53
841,258,211
842,121,254
843,277,315
844,12,341
845,210,194
846,257,393
847,107,401
848,243,29
849,293,430
850,151,164
851,289,240
852,186,500
853,193,95
854,104,79
855,224,135
856,236,188
857,118,455
858,64,481
859,168,295
860,279,500
861,31,355
862,37,411
863,277,22
864,57,270
865,83,251
866,211,470
867,71,61
868,108,462
869,214,210
870,226,368
871,82,252
872,202,377
873,96,235
874,17,17
875,108,338
876,42,379
877,123,59
878,80,240
879,166,283
880,108,48
881,187,428
882,278,276
883,121,175
884,141,497
885,244,285
886,148,341
887,289,260
888,218,293
889,26,71
890,70,71
891,190,41
892,293,115
893,266,245
894,195,354
895,293,494
896,72,11
897,100,222
898,256,90
899,95,365
900,29,38
901,173,144
902,89,330
903,160,466
904,158,407
905,70,419
906,202,353
907,267,93
908,61,428
909,234,125
910,86,432
911,59,127
912,192,489
913,13,341
914,288,356
915,253,158
916,268,318
917,50,175
918,292,388
919,298,73
920,89,208
921,297,363
922,276,384
923,32,295
924,17,44
925,10,104
926,209,366
927,279,177
928,148,409
929,6,12
930,205,448
931,21,188
932,130,108
933,106,16
934,164,62
935,23,164
936,197,39
937,77,390
938,262,37
939,19,2
940,186,166
941,4,23
942,267,284
943,120,495
944,195,201
945,87,207
946,26,331
947,46,239
948,113,345
949,235,407
950,122,61
951,162,83
952,17,200
953,124,131
954,111,22
955,128,382
956,31,231
957,103,499
958,81,379
959,225,383
960,235,17
961,163,27
962,60,242
963,295,361
964,104,47
965,98,123
966,160,232
967,106,193
968,41,235
969,221,264
970,187,67
971,192,304
972,115,73
973,194,453
974,99,126
975,289,4
976,93,365
977,16,434
978,137,264
979,12,280
980,268,181
981,213,103
982,109,259
983,118,473
984,227,494
985,283,132
986,289,204
987,170,190
988,42,345
989,151,27
990,133,72
991,185,72
992,87,153
993,78,426
994,5,46
995,121,161
996,188,52
997,184,119
998,285,136
999,180,29
1000,277,495
