id,productid,materialid,quantity
97,119,396,78
98,284,228,40
99,72,354,29
100,262,263,76
401,197,200,6
402,220,98,19
403,52,376,61
404,113,363,33
405,212,487,24
406,60,352,89
407,55,49,88
408,285,204,28
409,136,371,72
410,245,51,5
411,56,404,12
412,18,76,34
413,55,294,59
414,228,192,46
415,78,294,87
416,271,427,87
417,123,146,76
418,189,76,45
419,188,232,80
420,261,443,29
421,50,47,59
423,114,443,26
424,84,404,38
425,103,328,3
426,176,385,95
427,144,81,33
428,202,482,18
429,31,259,9
430,19,365,74
431,226,326,81
432,3,466,26
433,175,171,40
434,297,393,94
435,30,170,29
436,157,181,8
437,3,428,94
438,181,216,87
439,297,446,44
440,229,388,25
441,280,194,66
442,142,105,27
443,102,306,64
444,129,38,25
445,112,77,89
446,268,314,32
447,300,249,56
448,246,403,55
449,283,72,40
450,200,436,76
451,114,274,94
452,18,485,32
453,107,391,41
454,100,44,58
455,31,48,7
456,138,157,27
457,210,468,33
458,218,81,24
459,267,141,88
460,42,182,12
461,181,45,58
462,261,90,26
463,84,386,92
464,210,129,75
465,245,237,3
466,111,129,16
467,186,439,18
468,198,326,87
469,143,71,83
470,124,62,67
471,57,285,74
472,296,20,83
473,288,430,49
474,244,201,51
475,5,429,46
476,109,459,33
477,14,65,60
478,243,184,50
479,98,423,1
480,134,477,85
481,183,187,89
482,121,342,90
483,184,253,99
484,25,132,42
485,129,438,54
486,280,342,26
487,280,311,3
488,297,322,52
489,258,371,32
490,272,123,3
491,221,411,54
492,89,4,47
493,59,427,45
494,43,146,35
495,157,80,18
496,172,200,79
497,258,37,41
498,152,195,90
499,39,232,70
500,240,47,53
501,91,233,56
802,52,284,27
803,284,187,71
804,117,317,48
805,104,33,7
806,223,84,40
807,291,17,3
808,160,256,86
809,179,294,56
810,255,147,72
811,144,414,22
812,39,323,20
813,3,483,70
814,155,177,41
815,47,15,1
816,38,90,52
817,114,162,14
818,221,396,48
819,16,179,67
820,218,37,89
821,293,329,28
822,213,186,57
823,75,390,64
824,183,62,73
825,213,160,82
826,55,6,44
827,296,165,47
828,240,233,27
829,151,398,84
830,83,450,94
831,129,281,42
832,283,193,21
833,265,301,78
834,245,264,94
835,92,52,82
836,258,140,13
837,285,304,86
838,122,442,30
839,94,430,76
840,28,38,14
841,24,447,2
842,219,211,72
843,284,379,41
844,50,159,30
845,18,161,15
846,224,99,95
847,167,402,40
848,148,250,26
849,263,496,31
850,289,211,89
851,128,63,13
852,153,86,44
853,220,164,9
854,144,192,91
855,155,289,24
856,300,143,67
857,267,322,3
858,210,429,34
859,122,494,97
860,185,456,29
861,274,143,80
862,224,421,88
863,215,202,45
864,211,448,17
865,225,460,64
866,74,20,69
867,222,323,14
868,286,35,12
869,248,48,59
870,265,402,83
871,159,362,94
872,183,138,95
873,183,377,91
874,290,201,7
875,203,279,1
876,265,157,22
877,158,307,50
878,68,197,82
879,23,349,50
880,252,228,50
881,155,425,66
882,286,484,9
883,127,61,38
884,114,187,29
885,112,309,94
886,34,15,53
887,275,24,90
888,75,6,61
889,162,53,29
890,230,162,5
891,36,344,16
892,90,218,6
893,89,86,96
894,64,96,32
895,222,452,35
896,171,185,82
897,66,452,57
898,92,495,8
899,280,468,69
900,193,435,18
901,248,130,60
201,111,223,41
202,21,82,1
203,66,166,70
204,91,78,46
205,180,28,93
206,295,347,87
207,31,314,13
208,161,62,93
209,298,413,3
210,256,52,9
211,52,149,94
212,288,256,33
213,180,419,69
214,295,71,29
215,209,457,31
216,204,13,96
217,292,214,71
218,209,74,93
219,100,328,67
220,191,113,53
221,266,440,25
222,96,193,75
223,256,443,19
224,145,412,48
225,101,57,84
226,183,85,51
227,176,56,87
228,115,51,57
229,193,478,60
230,70,179,96
231,177,308,74
232,297,60,6
233,70,462,47
234,185,460,7
235,270,448,57
236,93,303,53
237,222,90,17
238,228,266,63
239,186,300,31
240,18,340,26
241,113,76,64
242,89,334,94
243,46,151,72
244,62,409,89
245,12,175,90
246,278,52,58
247,180,459,32
248,284,331,53
249,222,467,74
250,99,406,83
251,84,356,15
252,194,39,39
253,229,2,1
254,157,467,6
255,294,75,73
256,195,328,44
257,87,161,5
258,8,196,54
259,255,361,69
260,100,393,64
261,73,240,57
262,162,34,9
263,272,289,68
264,200,480,44
265,75,140,62
266,207,46,82
267,216,498,7
268,183,91,53
269,115,193,43
270,97,160,84
271,133,212,61
272,2,347,93
273,261,207,37
274,21,397,52
275,58,167,27
276,191,402,81
277,43,327,49
278,62,123,13
279,28,210,8
280,178,249,56
281,250,267,55
282,280,267,57
283,71,411,23
284,24,193,74
285,218,291,30
286,94,211,29
287,217,289,16
288,74,347,50
289,53,375,6
290,75,352,11
291,86,118,72
292,135,2,85
293,191,497,72
294,82,9,83
295,235,280,36
296,25,479,75
297,292,461,27
298,120,30,74
299,51,175,75
300,133,425,31
602,118,434,16
603,296,350,19
604,198,325,59
605,255,228,96
606,298,206,51
607,165,177,65
608,102,272,32
609,204,262,51
610,298,383,60
611,228,57,93
612,118,88,10
613,159,215,38
614,85,89,31
615,209,298,17
616,59,272,3
617,257,191,34
618,119,423,50
619,40,345,82
620,226,219,71
621,175,142,48
622,242,311,96
623,255,463,25
624,213,429,17
625,138,498,53
626,50,403,65
627,42,52,25
628,209,325,5
629,88,309,75
630,44,206,16
631,66,249,76
632,225,376,86
633,221,464,91
634,3,50,9
635,218,223,72
636,173,291,72
637,204,17,41
638,297,145,50
639,45,211,16
640,286,112,6
641,129,228,16
642,253,191,35
643,278,98,32
644,29,235,92
645,293,63,67
646,54,484,8
647,16,458,84
648,295,207,71
649,196,411,61
650,179,352,37
651,291,371,27
652,189,4,53
653,122,188,4
654,11,112,3
655,73,142,18
656,147,440,53
657,207,133,10
658,287,420,93
659,196,398,97
660,113,208,96
661,208,121,93
662,239,451,13
663,198,208,6
664,234,8,28
665,260,77,57
666,196,188,49
667,83,409,67
668,196,411,62
669,111,300,29
670,37,168,58
671,25,480,85
672,147,497,13
673,201,121,9
674,153,487,19
675,7,97,76
676,172,323,7
677,172,415,89
678,83,401,37
679,224,289,64
680,239,65,28
681,55,319,79
682,146,489,97
683,194,87,5
684,131,453,88
685,172,259,25
686,30,219,55
687,20,50,52
688,273,401,13
689,239,253,4
690,56,316,70
691,244,393,42
692,6,422,3
693,167,314,23
694,161,131,10
695,244,277,95
696,147,475,61
697,156,102,43
698,176,47,15
699,215,219,49
700,238,315,46
701,38,297,60
924,119,489,22
925,90,161,12
926,129,366,11
927,55,113,92
928,244,132,23
929,33,149,19
930,132,42,38
931,252,280,9
932,49,437,31
933,107,330,32
934,131,368,4
935,108,103,60
936,262,40,25
937,60,486,81
938,57,31,11
939,13,7,65
940,119,109,30
941,224,410,29
942,271,94,58
943,49,53,15
944,60,105,58
945,144,296,11
946,200,264,27
947,80,430,30
948,127,381,66
949,166,156,42
950,240,228,47
951,215,77,76
952,98,253,79
953,230,458,72
954,265,110,15
955,151,182,85
956,278,488,5
957,253,434,78
958,117,257,2
959,33,391,34
960,33,94,35
961,7,139,39
962,47,83,83
963,151,154,76
964,231,435,65
965,71,325,99
966,204,74,88
967,103,439,14
968,293,373,22
969,222,121,78
970,131,448,91
971,87,94,21
972,146,15,69
973,229,331,82
974,75,227,90
975,46,133,11
976,154,464,85
977,75,43,17
978,231,216,81
979,260,76,47
980,299,252,9
981,75,254,9
982,247,27,66
983,60,137,33
984,212,49,98
985,243,325,42
986,211,367,13
987,151,212,33
988,55,148,58
989,298,202,16
990,178,298,96
991,191,265,53
992,69,247,22
993,40,217,46
994,12,341,92
995,298,324,55
996,279,480,44
997,128,110,48
998,185,27,10
999,28,18,4
1000,16,134,20
422,88,361,62
