id,productid,customerid,quantity,saledate,totalprice
385,76,123,6,2024-03-05 10:23:36.036454,709.807281326143
386,211,343,5,2023-08-07 10:23:36.036454,906.229189291097
387,21,423,4,2023-08-24 10:23:36.036454,414.329064800393
388,262,188,5,2023-08-27 10:23:36.036454,463.236666814641
389,291,239,3,2024-04-27 10:23:36.036454,94.7300059344702
390,23,173,5,2023-08-23 10:23:36.036454,560.654617376004
391,173,236,5,2023-11-18 10:23:36.036454,505.967461252601
392,256,344,3,2023-08-19 10:23:36.036454,351.20440826472
393,280,350,1,2024-01-25 10:23:36.036454,322.810780316973
394,151,457,2,2023-06-01 10:23:36.036454,428.935281752294
395,120,335,4,2023-08-24 10:23:36.036454,628.051907851512
396,17,416,1,2024-02-26 10:23:36.036454,768.114039392613
397,210,354,1,2023-11-12 10:23:36.036454,652.423681240707
398,34,382,8,2024-03-01 10:23:36.036454,74.30157759076
399,142,48,8,2024-03-31 10:23:36.036454,255.123745011472
400,276,65,5,2023-06-08 10:23:36.036454,854.69747236621
401,79,382,9,2024-02-27 10:23:36.036454,597.323469263495
702,176,358,8,2023-12-22 10:23:36.036454,590.519543614152
703,42,61,9,2024-01-18 10:23:36.036454,324.971890339039
704,79,389,1,2024-05-11 10:23:36.036454,899.228201589256
705,87,324,9,2023-07-13 10:23:36.036454,939.574530646296
706,95,268,2,2023-09-17 10:23:36.036454,723.869289352325
707,25,12,6,2023-10-10 10:23:36.036454,183.13542599016
708,127,241,9,2023-10-22 10:23:36.036454,615.099081290783
709,295,364,9,2023-08-11 10:23:36.036454,342.04048715098
710,173,147,8,2023-08-13 10:23:36.036454,716.437679949615
711,190,200,1,2023-08-05 10:23:36.036454,814.583043658707
712,232,412,3,2024-02-13 10:23:36.036454,462.225293989788
713,270,385,1,2023-10-23 10:23:36.036454,137.448186064431
714,263,182,7,2024-02-16 10:23:36.036454,283.619696474682
715,5,359,1,2023-08-30 10:23:36.036454,357.265424745263
716,37,256,8,2023-07-29 10:23:36.036454,143.876074291393
717,80,325,1,2023-10-30 10:23:36.036454,356.019916911138
718,167,215,5,2023-07-05 10:23:36.036454,503.941522660838
719,280,63,4,2023-08-01 10:23:36.036454,548.670727700758
720,223,73,7,2023-11-05 10:23:36.036454,887.550616564002
721,38,132,4,2024-01-09 10:23:36.036454,299.358898577797
722,11,413,3,2023-05-26 10:23:36.036454,346.213571630222
723,130,377,1,2023-11-17 10:23:36.036454,382.859743113651
724,208,56,1,2024-01-08 10:23:36.036454,243.964831148337
725,297,85,5,2023-10-14 10:23:36.036454,88.0233779339775
726,40,207,1,2023-11-14 10:23:36.036454,162.116036701103
727,261,170,1,2023-11-17 10:23:36.036454,45.3033854374898
728,276,457,7,2024-01-22 10:23:36.036454,485.144633425737
729,272,398,1,2023-12-10 10:23:36.036454,867.292292177231
730,107,106,5,2023-08-19 10:23:36.036454,55.3537174148183
731,121,49,6,2023-11-21 10:23:36.036454,302.347418482527
732,168,322,6,2024-04-12 10:23:36.036454,185.88540078763
733,214,38,5,2023-06-02 10:23:36.036454,34.4192668408763
734,36,450,4,2024-03-14 10:23:36.036454,968.117974837526
735,270,246,4,2023-12-09 10:23:36.036454,601.922651574448
736,270,123,7,2023-05-28 10:23:36.036454,982.251597688631
737,178,130,2,2024-01-16 10:23:36.036454,140.867768820314
738,185,148,5,2023-08-20 10:23:36.036454,688.514802815635
739,299,223,5,2023-07-30 10:23:36.036454,428.154659220804
740,14,394,3,2024-03-17 10:23:36.036454,82.0485913369333
741,222,350,5,2024-04-02 10:23:36.036454,185.760724549324
742,107,285,7,2023-09-05 10:23:36.036454,361.44808714555
743,135,298,6,2023-05-25 10:23:36.036454,988.998761868563
744,123,381,3,2023-09-21 10:23:36.036454,712.344974974588
745,135,75,5,2023-08-21 10:23:36.036454,701.082750522268
746,251,145,5,2023-12-13 10:23:36.036454,985.320237022828
747,87,111,7,2024-03-29 10:23:36.036454,636.130082233961
748,144,186,6,2023-07-17 10:23:36.036454,900.902098706844
749,41,182,7,2024-01-26 10:23:36.036454,785.544253386641
750,56,146,2,2023-11-25 10:23:36.036454,460.841528964047
751,230,473,9,2023-05-28 10:23:36.036454,95.7374444769562
752,275,80,3,2023-06-26 10:23:36.036454,715.053767321816
753,281,317,1,2023-08-12 10:23:36.036454,89.615157735926
754,26,238,1,2024-01-28 10:23:36.036454,233.906055865666
755,269,220,2,2023-09-26 10:23:36.036454,606.250019278987
756,179,148,5,2024-01-05 10:23:36.036454,366.996999488993
757,111,372,4,2023-08-01 10:23:36.036454,820.208465677985
758,195,348,3,2024-04-24 10:23:36.036454,937.822472287044
759,114,74,3,2023-09-29 10:23:36.036454,542.098283645766
201,30,432,5,2024-02-22 10:23:36.036454,290.797267318084
203,145,499,1,2024-03-05 10:23:36.036454,833.463933267102
204,100,317,8,2023-06-14 10:23:36.036454,135.22202989605
205,19,246,7,2024-02-19 10:23:36.036454,179.167872506743
206,223,237,7,2023-11-17 10:23:36.036454,724.75928661441
207,203,438,9,2024-03-26 10:23:36.036454,586.277818405907
208,222,376,5,2024-02-28 10:23:36.036454,359.11546554727
209,16,404,1,2024-05-06 10:23:36.036454,287.287860246415
210,62,20,3,2023-09-10 10:23:36.036454,287.270169397817
211,44,15,6,2024-02-07 10:23:36.036454,453.216014610885
212,223,448,2,2023-12-17 10:23:36.036454,720.93308338399
213,149,77,8,2023-10-28 10:23:36.036454,370.242603400723
214,68,369,2,2023-07-06 10:23:36.036454,767.242581788474
215,203,436,7,2023-11-12 10:23:36.036454,16.7163078210927
216,256,66,9,2024-01-07 10:23:36.036454,565.60236287689
217,91,210,9,2023-07-08 10:23:36.036454,446.527943022745
218,94,423,8,2023-12-09 10:23:36.036454,197.563389870876
219,297,29,7,2024-05-07 10:23:36.036454,515.563354725695
220,2,319,2,2024-05-08 10:23:36.036454,569.383412700048
221,146,32,4,2023-12-04 10:23:36.036454,349.418045763931
222,207,49,7,2024-05-07 10:23:36.036454,65.937229850491
223,35,273,4,2023-09-24 10:23:36.036454,643.416516496634
224,1,492,8,2024-05-04 10:23:36.036454,235.987425261684
225,182,98,4,2024-03-09 10:23:36.036454,61.2028715065156
226,37,308,3,2023-10-26 10:23:36.036454,606.954959469146
227,30,9,6,2024-04-28 10:23:36.036454,587.146209877964
228,62,419,8,2023-08-19 10:23:36.036454,657.639942949802
229,143,425,8,2023-11-10 10:23:36.036454,324.182834106398
230,250,159,5,2023-07-20 10:23:36.036454,603.7860090478
231,134,355,6,2023-08-27 10:23:36.036454,996.979667535044
232,17,453,1,2024-02-25 10:23:36.036454,480.435391202236
233,37,294,5,2024-03-02 10:23:36.036454,308.652620854938
234,122,473,4,2024-03-31 10:23:36.036454,706.073035842021
235,295,259,3,2024-05-14 10:23:36.036454,523.74430769823
236,247,471,6,2023-11-25 10:23:36.036454,594.130447991246
237,253,202,7,2024-01-28 10:23:36.036454,922.858505227917
238,165,419,1,2024-04-04 10:23:36.036454,961.435587412358
239,247,335,2,2023-10-20 10:23:36.036454,918.52855093442
240,205,33,9,2024-04-18 10:23:36.036454,278.318888297936
241,258,413,8,2024-03-25 10:23:36.036454,599.559403293481
242,186,251,2,2023-09-21 10:23:36.036454,943.101950434927
243,130,365,8,2023-09-27 10:23:36.036454,425.119876429563
244,191,42,7,2023-10-22 10:23:36.036454,342.579024566258
245,56,222,3,2023-08-21 10:23:36.036454,120.992569487506
246,246,138,4,2023-10-09 10:23:36.036454,464.491296623078
247,198,100,2,2024-03-14 10:23:36.036454,987.719487576767
248,52,253,7,2023-07-18 10:23:36.036454,735.698091509191
249,223,87,4,2023-06-30 10:23:36.036454,917.456884242049
250,165,374,8,2024-05-21 10:23:36.036454,334.092937853441
251,143,419,7,2023-12-14 10:23:36.036454,783.6573664872
252,88,2,5,2023-09-21 10:23:36.036454,988.132623145269
253,201,137,8,2023-09-24 10:23:36.036454,940.07481837991
254,288,176,7,2024-01-11 10:23:36.036454,32.9635186238871
255,148,171,3,2024-03-17 10:23:36.036454,965.179361972383
256,201,285,5,2023-12-08 10:23:36.036454,860.817166015879
257,118,349,5,2023-06-20 10:23:36.036454,654.741968582131
258,210,284,8,2023-08-19 10:23:36.036454,301.022838956213
259,33,232,1,2023-11-16 10:23:36.036454,572.343454561887
260,126,59,2,2023-07-12 10:23:36.036454,454.847975809387
261,128,46,1,2023-06-14 10:23:36.036454,891.324115439076
262,9,365,6,2024-04-02 10:23:36.036454,381.324878634292
263,138,93,1,2023-09-20 10:23:36.036454,48.4617045859715
264,170,296,2,2023-09-12 10:23:36.036454,817.655503876136
265,4,483,1,2023-08-03 10:23:36.036454,124.236949743869
266,91,384,9,2024-02-11 10:23:36.036454,288.306940860347
267,194,395,9,2024-03-18 10:23:36.036454,605.906728890839
268,268,109,5,2024-01-30 10:23:36.036454,680.200876767067
269,186,188,6,2023-09-01 10:23:36.036454,448.084650102501
270,13,41,4,2024-03-16 10:23:36.036454,806.96557386883
271,273,363,9,2024-03-09 10:23:36.036454,492.59332154695
272,289,124,5,2024-01-27 10:23:36.036454,633.983980711749
273,141,419,6,2023-06-19 10:23:36.036454,990.794157173689
274,217,322,5,2024-04-09 10:23:36.036454,381.495798697549
275,84,451,5,2024-04-03 10:23:36.036454,216.070443335897
276,295,96,1,2023-10-28 10:23:36.036454,227.901219413653
277,108,378,7,2023-12-29 10:23:36.036454,82.1296554869334
278,257,67,1,2023-07-12 10:23:36.036454,553.405680586329
279,151,27,9,2024-03-29 10:23:36.036454,979.342901804837
280,105,353,3,2024-01-15 10:23:36.036454,154.859191418345
281,212,90,7,2024-01-27 10:23:36.036454,368.491397718045
282,118,71,2,2024-01-14 10:23:36.036454,984.777596482879
283,19,158,3,2024-02-17 10:23:36.036454,352.213994081065
284,197,113,5,2023-06-19 10:23:36.036454,276.654998201193
285,106,95,6,2023-12-19 10:23:36.036454,148.372524621412
286,216,442,4,2023-12-05 10:23:36.036454,812.065959010327
287,102,89,7,2023-05-24 10:23:36.036454,91.8056705678112
288,215,148,2,2023-09-28 10:23:36.036454,551.633837115164
289,237,349,3,2023-06-14 10:23:36.036454,518.725489421978
290,84,133,8,2023-07-24 10:23:36.036454,303.576621498832
291,229,245,8,2023-08-29 10:23:36.036454,113.6139656576
292,91,290,3,2023-08-31 10:23:36.036454,545.113567520206
293,119,175,2,2023-07-31 10:23:36.036454,949.476225396108
294,275,321,9,2024-01-06 10:23:36.036454,947.143083409172
295,194,225,7,2024-03-15 10:23:36.036454,442.516286514382
296,113,316,5,2023-12-06 10:23:36.036454,712.616249201593
297,142,416,9,2023-10-18 10:23:36.036454,409.178545968408
298,198,19,2,2023-11-12 10:23:36.036454,972.762115345276
299,173,418,7,2023-06-18 10:23:36.036454,993.147823072524
300,279,193,8,2024-03-08 10:23:36.036454,297.437967574639
301,233,269,1,2023-07-30 10:23:36.036454,826.051903006649
602,190,487,1,2023-05-30 10:23:36.036454,839.599553258847
603,45,279,5,2023-07-01 10:23:36.036454,735.998407988872
604,186,246,2,2024-01-08 10:23:36.036454,746.396578790082
605,15,118,5,2024-02-29 10:23:36.036454,390.346411890701
606,35,461,5,2024-02-04 10:23:36.036454,444.840566023781
607,12,66,3,2023-08-10 10:23:36.036454,766.031219295049
608,206,304,4,2023-08-15 10:23:36.036454,21.104284699218
609,259,425,6,2023-06-25 10:23:36.036454,396.042641299892
610,174,49,1,2023-12-09 10:23:36.036454,838.218772069896
611,13,110,3,2023-10-29 10:23:36.036454,728.469985367945
612,216,497,5,2023-11-25 10:23:36.036454,709.883801396152
613,19,286,4,2024-02-23 10:23:36.036454,549.911376132189
614,215,90,8,2023-09-09 10:23:36.036454,146.002693654328
615,78,80,3,2024-04-06 10:23:36.036454,312.557016415922
616,78,389,3,2023-12-03 10:23:36.036454,141.023639479584
617,204,368,3,2023-11-23 10:23:36.036454,197.72883967904
618,258,201,1,2023-07-11 10:23:36.036454,771.082022825238
619,107,205,5,2023-08-20 10:23:36.036454,327.54605046421
620,216,376,8,2024-01-26 10:23:36.036454,384.30139681774
621,181,210,3,2023-12-11 10:23:36.036454,617.858406983893
622,105,300,7,2023-12-17 10:23:36.036454,51.1810020483846
623,24,160,6,2024-03-31 10:23:36.036454,564.432077195248
624,134,182,9,2024-04-05 10:23:36.036454,337.611641248371
625,154,53,6,2023-06-29 10:23:36.036454,393.930049747947
626,72,443,6,2023-10-27 10:23:36.036454,424.006719198785
627,98,481,6,2023-12-13 10:23:36.036454,879.871839603414
628,112,381,4,2023-07-08 10:23:36.036454,119.122413106465
629,247,159,9,2023-09-10 10:23:36.036454,615.255477901672
630,125,268,5,2023-06-29 10:23:36.036454,75.8092329579045
631,193,197,3,2024-02-16 10:23:36.036454,615.63432073889
632,263,430,2,2023-11-08 10:23:36.036454,446.750231086453
633,43,248,8,2024-02-08 10:23:36.036454,884.950140587268
634,98,232,8,2024-01-07 10:23:36.036454,530.305186618694
