id,region,title,instance_id,status,severity,first_observed_at,last_observed_at,description,finding_type,inspector_score,cvss_score,vulnerability_id
arn:aws:inspector:eu-north-1:266480780430:finding/da0f4ed7100f4d98804c09a020e0d0d7,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-9e5fdc5a36734c88,i-9e5fdc5a36734c88,RESOLVED,CRITICAL,2025-06-10T13:19:00Z,2025-06-10T13:19:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-9e5fdc5a36734c88. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,98.4,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/fcc23d74428a4d3ca79fb09eb3a93322,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-8dd20c0f6da249ed,i-8dd20c0f6da249ed,RESOLVED,CRITICAL,2025-04-21T15:00:00Z,2025-04-21T15:00:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-8dd20c0f6da249ed. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,95.44,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/35e6338cb2c64c608054eacf6509ce33,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-5a48863f1952422d,i-5a48863f1952422d,RESOLVED,CRITICAL,2025-01-11T09:07:00Z,2025-01-11T09:07:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-5a48863f1952422d. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,99.14,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/c9af3a1f98cb47969589366cbf518c6e,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-1e9ffc0855214448,i-1e9ffc0855214448,RESOLVED,CRITICAL,2025-01-21T21:53:00Z,2025-01-21T21:53:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-1e9ffc0855214448. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,95.49,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/f25959b4b58a404db9753df1899b8d6b,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-64494be2d30f492d,i-64494be2d30f492d,ACTIVE,CRITICAL,2025-05-14T05:44:00Z,2025-05-14T05:44:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-64494be2d30f492d. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,98.81,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/ed5dbcb2cd4d4e1a919c10382966d5b2,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-67546518f0d545d7,i-67546518f0d545d7,ACTIVE,CRITICAL,2025-05-03T13:54:00Z,2025-05-03T13:54:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-67546518f0d545d7. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,98.9,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/a828e3b6fafb43919cfbfbba07b9a127,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-2f8b33dd80be4252,i-2f8b33dd80be4252,RESOLVED,CRITICAL,2025-05-26T09:13:00Z,2025-05-26T09:13:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-2f8b33dd80be4252. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,97.17,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/8346a077d0114328a1955ed8b1412852,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-6547ddbdbcb84551,i-6547ddbdbcb84551,RESOLVED,CRITICAL,2025-01-05T11:30:00Z,2025-01-05T11:30:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-6547ddbdbcb84551. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,96.17,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/fb7063fa14d84849b1a03559db3fd1d6,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-10b36f6150e14401,i-10b36f6150e14401,ACTIVE,CRITICAL,2025-06-28T20:09:00Z,2025-06-28T20:09:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-10b36f6150e14401. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,96.08,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/7c35a0b692f04f11b70db5184c82d214,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-2b589ee0dc484869,i-2b589ee0dc484869,RESOLVED,CRITICAL,2025-04-11T01:38:00Z,2025-04-11T01:38:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-2b589ee0dc484869. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,95.1,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/13847924b82245f498488018d3a477cb,eu-north-1,Finding 1 for i-61010827ec8c4d28,i-61010827ec8c4d28,ACTIVE,MEDIUM,2025-04-22T09:45:00Z,2025-04-22T09:45:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/13847924b82245f498488018d3a477cb,NETWORK_REACHABILITY,64.97,,
arn:aws:inspector:eu-north-1:266480780430:finding/b0505d81d766425182884766726af517,eu-north-1,Finding 2 for i-61010827ec8c4d28,i-61010827ec8c4d28,RESOLVED,HIGH,2025-02-04T08:47:00Z,2025-02-04T08:47:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/b0505d81d766425182884766726af517,NETWORK_REACHABILITY,46.01,,
arn:aws:inspector:eu-north-1:266480780430:finding/2f1b3efc60894d7089c5c41a9a7a604e,eu-north-1,Finding 1 for i-0e489cb13bb44012,i-0e489cb13bb44012,RESOLVED,LOW,2025-04-01T17:00:00Z,2025-04-01T17:00:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/2f1b3efc60894d7089c5c41a9a7a604e,PACKAGE_VULNERABILITY,75.9,6.0,CVE-2021-1933
arn:aws:inspector:eu-north-1:266480780430:finding/cffc78cdf88445f692325b6c31488bfc,eu-north-1,Finding 2 for i-0e489cb13bb44012,i-0e489cb13bb44012,RESOLVED,CRITICAL,2025-01-09T14:14:00Z,2025-01-09T14:14:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/cffc78cdf88445f692325b6c31488bfc,PACKAGE_VULNERABILITY,79.63,5.7,CVE-2021-0279
arn:aws:inspector:eu-north-1:266480780430:finding/b919276af8af4d6faa90e2bd620fa623,eu-north-1,Finding 3 for i-0e489cb13bb44012,i-0e489cb13bb44012,ACTIVE,CRITICAL,2025-02-24T01:40:00Z,2025-02-24T01:40:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/b919276af8af4d6faa90e2bd620fa623,PACKAGE_VULNERABILITY,68.37,2.7,CVE-2021-38456
arn:aws:inspector:eu-north-1:266480780430:finding/4e5fae5916514ece9da3eea55a15adbe,eu-north-1,Finding 4 for i-0e489cb13bb44012,i-0e489cb13bb44012,ACTIVE,MEDIUM,2025-05-24T13:05:00Z,2025-05-24T13:05:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/4e5fae5916514ece9da3eea55a15adbe,NETWORK_REACHABILITY,18.32,,
arn:aws:inspector:eu-north-1:266480780430:finding/38879900abac49cc93d5224868681f54,eu-north-1,Finding 1 for i-58219f9a51f24821,i-58219f9a51f24821,ACTIVE,MEDIUM,2025-06-01T22:06:00Z,2025-06-01T22:06:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/38879900abac49cc93d5224868681f54,NETWORK_REACHABILITY,74.63,,
arn:aws:inspector:eu-north-1:266480780430:finding/1068201c484a49e895631bed4aa56fc7,eu-north-1,Finding 2 for i-58219f9a51f24821,i-58219f9a51f24821,ACTIVE,CRITICAL,2025-01-06T21:04:00Z,2025-01-06T21:04:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/1068201c484a49e895631bed4aa56fc7,NETWORK_REACHABILITY,78.78,,
arn:aws:inspector:eu-north-1:266480780430:finding/fb709e2990284b10a76471f00342440c,eu-north-1,Finding 3 for i-58219f9a51f24821,i-58219f9a51f24821,RESOLVED,HIGH,2025-06-28T03:14:00Z,2025-06-28T03:14:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/fb709e2990284b10a76471f00342440c,PACKAGE_VULNERABILITY,62.63,3.2,CVE-2021-21452
arn:aws:inspector:eu-north-1:266480780430:finding/1f5549e5fe274b1d9d7594c5e6525d3b,eu-north-1,Finding 4 for i-58219f9a51f24821,i-58219f9a51f24821,ACTIVE,HIGH,2025-01-26T20:19:00Z,2025-01-26T20:19:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/1f5549e5fe274b1d9d7594c5e6525d3b,NETWORK_REACHABILITY,50.66,,
arn:aws:inspector:eu-north-1:266480780430:finding/3adbcaa69f0042feb649fe387c65e3b4,eu-north-1,Finding 5 for i-58219f9a51f24821,i-58219f9a51f24821,ACTIVE,MEDIUM,2025-01-08T16:03:00Z,2025-01-08T16:03:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/3adbcaa69f0042feb649fe387c65e3b4,NETWORK_REACHABILITY,56.5,,
arn:aws:inspector:eu-north-1:266480780430:finding/a39f5083fc7e467b9606936d24aa8d08,eu-north-1,Finding 6 for i-58219f9a51f24821,i-58219f9a51f24821,RESOLVED,MEDIUM,2025-04-22T11:32:00Z,2025-04-22T11:32:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/a39f5083fc7e467b9606936d24aa8d08,NETWORK_REACHABILITY,96.13,,
arn:aws:inspector:eu-north-1:266480780430:finding/9068fb9b2cc94694ae391b12307e7f5c,eu-north-1,Finding 1 for i-51e4e14cec224ae5,i-51e4e14cec224ae5,ACTIVE,MEDIUM,2025-06-08T06:47:00Z,2025-06-08T06:47:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/9068fb9b2cc94694ae391b12307e7f5c,PACKAGE_VULNERABILITY,34.33,6.0,CVE-2021-1678
arn:aws:inspector:eu-north-1:266480780430:finding/1b7f8d8bb0bd438bb977eb0c94e91ae1,eu-north-1,Finding 2 for i-51e4e14cec224ae5,i-51e4e14cec224ae5,ACTIVE,CRITICAL,2025-06-16T23:48:00Z,2025-06-16T23:48:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/1b7f8d8bb0bd438bb977eb0c94e91ae1,PACKAGE_VULNERABILITY,26.47,9.5,CVE-2021-42837
arn:aws:inspector:eu-north-1:266480780430:finding/e559101c483a464e97443e75ee8fdc0c,eu-north-1,Finding 3 for i-51e4e14cec224ae5,i-51e4e14cec224ae5,ACTIVE,MEDIUM,2025-06-18T18:13:00Z,2025-06-18T18:13:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/e559101c483a464e97443e75ee8fdc0c,PACKAGE_VULNERABILITY,42.83,2.6,CVE-2021-22796
arn:aws:inspector:eu-north-1:266480780430:finding/51a2523ad72746b28c762ce0fa385864,eu-north-1,Finding 4 for i-51e4e14cec224ae5,i-51e4e14cec224ae5,ACTIVE,MEDIUM,2025-05-27T08:31:00Z,2025-05-27T08:31:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/51a2523ad72746b28c762ce0fa385864,PACKAGE_VULNERABILITY,83.54,8.3,CVE-2021-26253
arn:aws:inspector:eu-north-1:266480780430:finding/469a79624d1442cab105be67169f0c66,eu-north-1,Finding 5 for i-51e4e14cec224ae5,i-51e4e14cec224ae5,RESOLVED,CRITICAL,2025-04-23T03:11:00Z,2025-04-23T03:11:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/469a79624d1442cab105be67169f0c66,PACKAGE_VULNERABILITY,1.3,1.3,CVE-2021-33822
arn:aws:inspector:eu-north-1:266480780430:finding/80dae0f42b744ee28290a2a94a5146af,eu-north-1,Finding 6 for i-51e4e14cec224ae5,i-51e4e14cec224ae5,ACTIVE,MEDIUM,2025-04-07T13:42:00Z,2025-04-07T13:42:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/80dae0f42b744ee28290a2a94a5146af,NETWORK_REACHABILITY,13.2,,
arn:aws:inspector:eu-north-1:266480780430:finding/c8c5d27e30c04042bcca680e9a3a086f,eu-north-1,Finding 7 for i-51e4e14cec224ae5,i-51e4e14cec224ae5,ACTIVE,LOW,2025-05-04T03:51:00Z,2025-05-04T03:51:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/c8c5d27e30c04042bcca680e9a3a086f,NETWORK_REACHABILITY,64.19,,
arn:aws:inspector:eu-north-1:266480780430:finding/21a9f5b1ff2542929b42e731a7641981,eu-north-1,Finding 1 for i-d3dddd5658754a71,i-d3dddd5658754a71,ACTIVE,CRITICAL,2025-02-08T22:47:00Z,2025-02-08T22:47:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/21a9f5b1ff2542929b42e731a7641981,PACKAGE_VULNERABILITY,56.73,3.1,CVE-2021-44881
arn:aws:inspector:eu-north-1:266480780430:finding/3db4808faf9a488fa5d0edc31cee8a66,eu-north-1,Finding 2 for i-d3dddd5658754a71,i-d3dddd5658754a71,RESOLVED,MEDIUM,2025-02-03T19:07:00Z,2025-02-03T19:07:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/3db4808faf9a488fa5d0edc31cee8a66,PACKAGE_VULNERABILITY,70.55,0.4,CVE-2021-4247
arn:aws:inspector:eu-north-1:266480780430:finding/5a0adb4dce0f4f74b613bff64d6fa893,eu-north-1,Finding 3 for i-d3dddd5658754a71,i-d3dddd5658754a71,RESOLVED,CRITICAL,2025-04-06T09:47:00Z,2025-04-06T09:47:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/5a0adb4dce0f4f74b613bff64d6fa893,PACKAGE_VULNERABILITY,33.24,3.9,CVE-2021-21749
arn:aws:inspector:eu-north-1:266480780430:finding/1d4d661131b849b68b4b13efc3ac23f3,eu-north-1,Finding 4 for i-d3dddd5658754a71,i-d3dddd5658754a71,RESOLVED,HIGH,2025-02-08T08:47:00Z,2025-02-08T08:47:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/1d4d661131b849b68b4b13efc3ac23f3,NETWORK_REACHABILITY,63.86,,
arn:aws:inspector:eu-north-1:266480780430:finding/ff1e4eb709cd467c8f892b36b41a5afe,eu-north-1,Finding 5 for i-d3dddd5658754a71,i-d3dddd5658754a71,ACTIVE,LOW,2025-03-19T13:23:00Z,2025-03-19T13:23:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/ff1e4eb709cd467c8f892b36b41a5afe,PACKAGE_VULNERABILITY,35.77,7.1,CVE-2021-37538
arn:aws:inspector:eu-north-1:266480780430:finding/56e879ea9077472c8a561136f31e1b7f,eu-north-1,Finding 6 for i-d3dddd5658754a71,i-d3dddd5658754a71,ACTIVE,MEDIUM,2025-04-24T16:00:00Z,2025-04-24T16:00:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/56e879ea9077472c8a561136f31e1b7f,NETWORK_REACHABILITY,56.47,,
arn:aws:inspector:eu-north-1:266480780430:finding/5e839b1bc2f443768cc7c5007752ac2c,eu-north-1,Finding 7 for i-d3dddd5658754a71,i-d3dddd5658754a71,RESOLVED,CRITICAL,2025-05-27T18:37:00Z,2025-05-27T18:37:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/5e839b1bc2f443768cc7c5007752ac2c,PACKAGE_VULNERABILITY,9.82,5.9,CVE-2021-44302
arn:aws:inspector:eu-north-1:266480780430:finding/d24e4a78d0d445688b7a78e25b54cb71,eu-north-1,Finding 8 for i-d3dddd5658754a71,i-d3dddd5658754a71,RESOLVED,LOW,2025-06-05T03:39:00Z,2025-06-05T03:39:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/d24e4a78d0d445688b7a78e25b54cb71,PACKAGE_VULNERABILITY,77.6,7.1,CVE-2021-46455
arn:aws:inspector:eu-north-1:266480780430:finding/2b6dc80bac71446b8071423be43e5ea8,eu-north-1,Finding 9 for i-d3dddd5658754a71,i-d3dddd5658754a71,RESOLVED,MEDIUM,2025-03-17T20:18:00Z,2025-03-17T20:18:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/2b6dc80bac71446b8071423be43e5ea8,NETWORK_REACHABILITY,64.21,,
arn:aws:inspector:eu-north-1:266480780430:finding/d936c51c999647d48f439689971f3051,eu-north-1,Finding 1 for i-8bf7d94c153c4824,i-8bf7d94c153c4824,RESOLVED,LOW,2025-03-26T17:35:00Z,2025-03-26T17:35:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/d936c51c999647d48f439689971f3051,NETWORK_REACHABILITY,1.44,,
arn:aws:inspector:eu-north-1:266480780430:finding/995b0a2ac4c44fb99dfe9d9e3371d929,eu-north-1,Finding 2 for i-8bf7d94c153c4824,i-8bf7d94c153c4824,ACTIVE,LOW,2025-04-15T05:26:00Z,2025-04-15T05:26:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/995b0a2ac4c44fb99dfe9d9e3371d929,PACKAGE_VULNERABILITY,80.45,0.8,CVE-2021-35368
arn:aws:inspector:eu-north-1:266480780430:finding/01fba76b849141ebb4c6968991a2d96e,eu-north-1,Finding 3 for i-8bf7d94c153c4824,i-8bf7d94c153c4824,RESOLVED,HIGH,2025-03-13T01:22:00Z,2025-03-13T01:22:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/01fba76b849141ebb4c6968991a2d96e,PACKAGE_VULNERABILITY,19.68,2.9,CVE-2021-33669
arn:aws:inspector:eu-north-1:266480780430:finding/bd7ba83e27ee4aa1a982f2bb827750ff,eu-north-1,Finding 1 for i-10b36f6150e14401,i-10b36f6150e14401,ACTIVE,CRITICAL,2025-02-22T00:54:00Z,2025-02-22T00:54:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/bd7ba83e27ee4aa1a982f2bb827750ff,NETWORK_REACHABILITY,27.04,,
arn:aws:inspector:eu-north-1:266480780430:finding/fc566cb33f904522a3deddf9306c8bd8,eu-north-1,Finding 2 for i-10b36f6150e14401,i-10b36f6150e14401,RESOLVED,CRITICAL,2025-05-02T19:11:00Z,2025-05-02T19:11:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/fc566cb33f904522a3deddf9306c8bd8,PACKAGE_VULNERABILITY,7.93,4.4,CVE-2021-37384
arn:aws:inspector:eu-north-1:266480780430:finding/7c6174a506b64924aac1474704b1e53e,eu-north-1,Finding 3 for i-10b36f6150e14401,i-10b36f6150e14401,RESOLVED,HIGH,2025-06-25T00:46:00Z,2025-06-25T00:46:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/7c6174a506b64924aac1474704b1e53e,PACKAGE_VULNERABILITY,31.02,3.5,CVE-2021-1471
arn:aws:inspector:eu-north-1:266480780430:finding/2b998a5a126943038a5f1039ffe1ea1c,eu-north-1,Finding 4 for i-10b36f6150e14401,i-10b36f6150e14401,ACTIVE,LOW,2025-05-22T07:32:00Z,2025-05-22T07:32:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/2b998a5a126943038a5f1039ffe1ea1c,NETWORK_REACHABILITY,81.27,,
arn:aws:inspector:eu-north-1:266480780430:finding/5cb85417abec422282a6993b47e69f8b,eu-north-1,Finding 5 for i-10b36f6150e14401,i-10b36f6150e14401,RESOLVED,LOW,2025-03-23T07:36:00Z,2025-03-23T07:36:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/5cb85417abec422282a6993b47e69f8b,PACKAGE_VULNERABILITY,18.78,8.3,CVE-2021-1000
arn:aws:inspector:eu-north-1:266480780430:finding/7afc6c8d10804399889f25bda7b629f0,eu-north-1,Finding 6 for i-10b36f6150e14401,i-10b36f6150e14401,RESOLVED,LOW,2025-02-04T04:04:00Z,2025-02-04T04:04:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/7afc6c8d10804399889f25bda7b629f0,PACKAGE_VULNERABILITY,42.34,7.6,CVE-2021-37421
arn:aws:inspector:eu-north-1:266480780430:finding/ff47e43db0f9470db611196617dc96c1,eu-north-1,Finding 7 for i-10b36f6150e14401,i-10b36f6150e14401,ACTIVE,HIGH,2025-06-14T14:53:00Z,2025-06-14T14:53:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/ff47e43db0f9470db611196617dc96c1,NETWORK_REACHABILITY,31.83,,
arn:aws:inspector:eu-north-1:266480780430:finding/b28efe3bf8cc4134a123822a2a5fb61a,eu-north-1,Finding 1 for i-bb7470b09ecc49b3,i-bb7470b09ecc49b3,ACTIVE,HIGH,2025-06-03T01:46:00Z,2025-06-03T01:46:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/b28efe3bf8cc4134a123822a2a5fb61a,PACKAGE_VULNERABILITY,92.23,9.3,CVE-2021-3439
arn:aws:inspector:eu-north-1:266480780430:finding/533e2464bbc94baa82fc852e3e02644f,eu-north-1,Finding 2 for i-bb7470b09ecc49b3,i-bb7470b09ecc49b3,ACTIVE,MEDIUM,2025-03-28T11:17:00Z,2025-03-28T11:17:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/533e2464bbc94baa82fc852e3e02644f,NETWORK_REACHABILITY,64.12,,
arn:aws:inspector:eu-north-1:266480780430:finding/a109377c815a49e88fe266ecf5658eb0,eu-north-1,Finding 3 for i-bb7470b09ecc49b3,i-bb7470b09ecc49b3,RESOLVED,HIGH,2025-05-25T04:55:00Z,2025-05-25T04:55:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/a109377c815a49e88fe266ecf5658eb0,NETWORK_REACHABILITY,16.48,,
arn:aws:inspector:eu-north-1:266480780430:finding/902c46d4c3604d1cb8bf179b5b79966d,eu-north-1,Finding 1 for i-c65a27f5a7114509,i-c65a27f5a7114509,RESOLVED,LOW,2025-02-02T20:23:00Z,2025-02-02T20:23:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/902c46d4c3604d1cb8bf179b5b79966d,PACKAGE_VULNERABILITY,42.58,8.9,CVE-2021-33357
arn:aws:inspector:eu-north-1:266480780430:finding/cfebd9427a3b48559f8ddb68b871bf19,eu-north-1,Finding 2 for i-c65a27f5a7114509,i-c65a27f5a7114509,ACTIVE,LOW,2025-03-21T18:03:00Z,2025-03-21T18:03:00Z,Description for arn:aws:inspector:eu-north-1:266480780430:finding/cfebd9427a3b48559f8ddb68b871bf19,PACKAGE_VULNERABILITY,32.03,4.9,CVE-2021-22975
