id,from_interface_id,to_external_ip,srcport,dstport,protocol,packets,bytes,windowstart,windowend,action,flowlogstatus,flow_direction,region,account_id,tcp_flags,traffic_path
flow-ext-67880465eaa043a4,eni-1e10f09bd2f9416e,41.129.255.39,49457,23,17,588,32354,1708452121,1708452830,ACCEPT,OK,ingress,eu-north-1,654634437555,0,6
flow-ext-2abc8eacb9b54dff,eni-11f02fb8eb364c63,72.160.230.185,58560,22,6,238,51198,1708095657,1708099242,ACCEPT,SKIPDATA,ingress,eu-north-1,678861130710,65,3
flow-ext-c2d858f9228c484c,eni-8dfbc96c530243d5,198.36.202.228,48476,143,6,51,51560,1705325442,1705327264,ACCEPT,OK,ingress,ap-southeast-1,908184137566,85,4
flow-ext-eb3f454fc59b44a7,eni-6c8db0913ff84ca7,113.141.247.126,40735,3306,6,470,38119,1704270644,1704272514,ACCEPT,OK,egress,ap-southeast-1,601081551157,148,6
flow-ext-af45d890264a4728,eni-3a1c0738cc8345e7,93.130.27.95,53261,80,17,970,8536,1707876220,1707878743,ACCEPT,NODATA,egress,us-east-1,544259159133,0,2
flow-ext-26db6a5cec144a7c,eni-add1b3f32a684335,191.188.152.176,40922,143,6,698,30201,1706116903,1706117277,ACCEPT,SKIPDATA,ingress,ap-southeast-1,607697117202,64,4
flow-ext-ec203ced074745f3,eni-17a43a11b9e948d9,27.120.248.63,52845,3306,6,654,16776,1707931131,1707933294,ACCEPT,NODATA,ingress,ap-southeast-1,672359329602,237,2
flow-ext-63e15dd191c94a6b,eni-35fe6425a8034e3e,97.228.82.154,35758,3389,6,562,28065,1707464320,1707466420,ACCEPT,NODATA,egress,eu-north-1,434184894394,20,5
flow-ext-79f3e907572f456d,eni-568625c143384f9b,147.93.215.205,36873,25,6,542,24123,1708487314,1708487569,ACCEPT,NODATA,ingress,eu-north-1,738250432304,199,2
flow-ext-58da0efb945347fd,eni-eaed4213321d490a,176.225.232.100,0,0,1,133,56556,1707538615,1707539118,ACCEPT,NODATA,ingress,us-west-2,329901101512,0,3
flow-ext-d01d0086b58e406c,eni-c450a67c77a24ed1,145.92.80.146,0,0,1,975,22581,1709246930,1709249853,ACCEPT,NODATA,egress,us-west-2,390542227443,0,8
flow-ext-30e7c6e39f6546a6,eni-5bc5bff22ee84ac8,52.225.143.150,56391,23,17,609,33903,1705823316,1705824097,ACCEPT,SKIPDATA,egress,eu-north-1,258457055451,0,5
flow-ext-d85b8855662a4f75,eni-e2f3f621a1f74c76,211.220.23.121,0,0,1,188,4527,1708873600,1708874436,ACCEPT,OK,egress,eu-north-1,842332304175,0,6
flow-ext-886a09a9468e40f6,eni-8694c840952149d4,159.8.89.234,0,0,1,46,11948,1705310309,1705311751,REJECT,SKIPDATA,egress,us-east-1,843115318672,0,5
flow-ext-b41072a357004b20,eni-c84b91bf13f94e20,52.132.123.218,59241,25,17,445,4198,1708272841,1708276170,ACCEPT,SKIPDATA,ingress,eu-north-1,867775150192,0,3
flow-ext-aa249327fee14d18,eni-2051d5f560614eea,33.48.236.89,52417,5432,17,678,20598,1708563475,1708565861,ACCEPT,SKIPDATA,egress,us-east-1,689371620135,0,1
flow-ext-b64c9dde41384c7a,eni-91b074cd6e5141e5,74.42.110.64,38734,3306,6,407,20767,1708211121,1708214138,ACCEPT,OK,egress,ap-southeast-1,126962232920,53,7
flow-ext-5b4fedbf23934de8,eni-c6f2fad926c04a11,208.208.40.116,0,0,1,303,34868,1706247317,1706249060,ACCEPT,SKIPDATA,ingress,ap-southeast-1,933164019673,0,1
flow-ext-c8d7a4d4ce1b4a81,eni-de3e63b043c74c95,180.254.20.113,37079,80,6,188,3673,1706479391,1706481521,REJECT,OK,ingress,us-west-2,201583474953,183,1
flow-ext-3cfc171b9c284b10,eni-0130185bb3954e0c,110.151.101.61,0,0,1,325,13245,1709124705,1709125874,ACCEPT,SKIPDATA,ingress,us-west-2,856704935547,0,4
flow-ext-b28b61e78e954b87,eni-97ef1c91e4b747f0,166.97.108.231,0,0,1,891,47961,1704991676,1704993570,REJECT,SKIPDATA,egress,us-west-2,459567680742,0,3
flow-ext-3ecbd9559db74a68,eni-26df5aea3e9f4302,134.73.66.73,0,0,1,656,62370,1705597071,1705598774,ACCEPT,NODATA,egress,eu-north-1,906355565989,0,6
flow-ext-157026ba4b304ccb,eni-3b386b80084a410a,150.130.218.196,59864,80,17,292,60511,1704703195,1704705614,ACCEPT,SKIPDATA,egress,us-west-2,963409091469,0,4
flow-ext-c80307d952ae48be,eni-6afd1331827244b1,114.8.207.104,0,0,1,236,61474,1708894399,1708895928,ACCEPT,SKIPDATA,egress,eu-north-1,638169612172,0,4
flow-ext-ca7dd226884f41ba,eni-7de6cb2228a34797,30.140.73.200,53843,995,17,772,58757,1706830416,1706832327,ACCEPT,OK,ingress,eu-north-1,819827057129,0,6
flow-ext-b3cc44fddb334adc,eni-42a39901f24f4b0f,14.172.130.105,0,0,1,144,32667,1708945822,1708948924,ACCEPT,NODATA,ingress,eu-north-1,615590151340,0,1
flow-ext-fd6769b57f18486e,eni-8dfbc96c530243d5,211.119.250.138,39711,5432,6,76,37150,1704521353,1704522899,ACCEPT,NODATA,egress,us-east-1,663834936632,237,6
flow-ext-2810a2827ebd4a9e,eni-e8fa43f2c1f348d0,113.141.247.126,57325,80,17,373,43159,1708474958,1708478358,ACCEPT,NODATA,egress,ap-southeast-1,573787477922,0,7
flow-ext-3ca991c5bb1343e1,eni-17a43a11b9e948d9,206.157.131.186,0,0,1,456,40893,1708090901,1708093747,ACCEPT,NODATA,egress,us-west-2,360042195208,0,1
flow-ext-0f07a5e4bb1d4c2a,eni-dec74262a3c149f0,99.165.119.40,51727,110,17,718,6084,1707916781,1707919409,ACCEPT,OK,egress,ap-southeast-1,138739228419,0,1
flow-ext-712ae6b2eaa04695,eni-1d768a12bfa14ac7,182.119.25.228,48838,5432,17,122,41068,1706937803,1706940834,ACCEPT,OK,ingress,eu-north-1,421163350568,0,7
flow-ext-a5451d44e9364c8b,eni-2d19b697c4374761,166.97.108.231,0,0,1,798,32227,1704429970,1704430591,REJECT,NODATA,ingress,us-west-2,229875490295,0,7
flow-ext-90b1846302a44237,eni-9ba2dbb4819b441e,15.41.236.62,0,0,1,495,63418,1707686537,1707688891,ACCEPT,SKIPDATA,egress,us-west-2,348276607023,0,1
flow-ext-99c73d73d9b54123,eni-c450a67c77a24ed1,206.157.131.186,0,0,1,774,26748,1707538182,1707538351,ACCEPT,NODATA,egress,us-west-2,428360241131,0,7
flow-ext-0c2f36bbaf724524,eni-35fe6425a8034e3e,61.89.243.108,0,0,1,965,49653,1708336576,1708336687,ACCEPT,OK,egress,ap-southeast-1,302483727254,0,8
flow-ext-cc324ead8dc74eef,eni-5b4c3e91560e49e2,216.89.251.233,0,0,1,815,23873,1704560443,1704561547,ACCEPT,NODATA,ingress,us-east-1,159357951035,0,6
flow-ext-77d1120b28564069,eni-8f8dc386fdd44f38,159.8.89.234,0,0,1,798,32101,1707115559,1707118593,REJECT,NODATA,egress,ap-southeast-1,983382486069,0,2
flow-ext-c789fae16db34d6e,eni-93c5686833c84b8a,146.230.181.204,0,0,1,355,38159,1706221514,1706224418,ACCEPT,OK,ingress,us-west-2,358209533410,0,4
flow-ext-7caa44f4a4364147,eni-948cdee32a4540ce,45.231.129.28,0,0,1,363,33498,1708341595,1708345000,ACCEPT,OK,egress,us-east-1,515733833267,0,1
flow-ext-21eb1ff01d3c417b,eni-0a2733fa99d944c2,57.24.66.14,59383,3306,17,576,46582,1704178757,1704178900,ACCEPT,OK,egress,us-west-2,539343929544,0,5
flow-ext-cb1543b653e5434d,eni-a902880893464044,129.234.132.241,0,0,1,80,3697,1706073392,1706076616,ACCEPT,OK,egress,us-east-1,777671248824,0,2
flow-ext-1ecbbeece9dc43db,eni-7ee6597125204bca,147.93.215.205,0,0,1,140,6205,1706980232,1706980780,ACCEPT,OK,egress,us-east-1,655430205634,0,7
flow-ext-11516e22ed5a45c4,eni-4940b33fea274536,176.225.232.100,0,0,1,331,42128,1707532964,1707536425,ACCEPT,SKIPDATA,egress,us-east-1,593424968090,0,5
flow-ext-35dd8ebce4de4977,eni-4eccf485b82c435c,173.39.243.252,51742,22,17,137,54126,1708408163,1708410901,ACCEPT,SKIPDATA,egress,us-east-1,432667441707,0,6
flow-ext-80b00b1df40f477c,eni-7ec80170015942b3,68.154.115.95,42841,25,6,519,55052,1707535660,1707537410,ACCEPT,SKIPDATA,egress,ap-southeast-1,529312447416,70,6
flow-ext-2496511f37c243e3,eni-51e08fdc341d48a0,197.236.91.40,61059,143,6,314,32144,1706207055,1706209111,ACCEPT,NODATA,egress,us-west-2,169399466449,98,6
flow-ext-7fe49db0298b4804,eni-014d8203db68473d,114.168.208.169,57512,25,17,894,37665,1708953332,1708956184,ACCEPT,OK,egress,ap-southeast-1,672548004542,0,8
flow-ext-411be22273064cf9,eni-dbbeae563588443c,129.167.232.103,40535,22,6,410,40351,1707609349,1707611443,ACCEPT,NODATA,egress,us-west-2,277619893016,170,8
flow-ext-77d0e6f0fed442b3,eni-d7843a91d09f44b1,168.244.222.164,0,0,1,257,16699,1708388669,1708389173,REJECT,SKIPDATA,ingress,us-east-1,145890969487,0,7
flow-ext-616a3380b08b4beb,eni-bcc22c1d43234461,74.45.129.253,0,0,1,67,45815,1705483616,1705486899,ACCEPT,NODATA,ingress,eu-north-1,423551167367,0,3
flow-ext-2df5779a4a61407d,eni-c3d6ccea5a6d434c,181.209.56.220,46468,3389,6,23,32490,1705520968,1705521964,ACCEPT,SKIPDATA,egress,us-east-1,139915976023,106,8
flow-ext-00f414c9f3524dd4,eni-e048bb12f9df400c,72.57.1.153,35392,23,17,65,13298,1705522381,1705524078,ACCEPT,NODATA,ingress,us-east-1,381513424543,0,5
flow-ext-f677462169454f09,eni-20a48b5c9aab4fc9,102.69.172.213,61717,5432,17,502,1214,1706003312,1706003645,ACCEPT,OK,egress,ap-southeast-1,191968326131,0,3
flow-ext-0cd2c3fd456f4c39,eni-14dda3f0f5444a84,124.9.5.198,0,0,1,602,62950,1708313289,1708316749,ACCEPT,NODATA,ingress,eu-north-1,964394829321,0,3
flow-ext-2328fda943f34315,eni-8aad63494bb244fb,182.201.219.4,40391,25,17,169,6412,1708321255,1708321756,REJECT,SKIPDATA,egress,ap-southeast-1,908254259449,0,8
flow-ext-b599dbd701c3433c,eni-03f3fa2ea5e94d21,57.24.66.14,44961,3306,6,903,7296,1709114191,1709114608,ACCEPT,NODATA,ingress,us-west-2,814360438941,74,4
flow-ext-95b1ba13c913430b,eni-5e49cbfc278b4c0a,134.73.66.73,0,0,1,409,39169,1708056853,1708058341,ACCEPT,NODATA,egress,us-east-1,162487347535,0,4
flow-ext-6a4ba56ad752414b,eni-e9d0124df9114cbc,1.37.220.225,34711,25,17,672,7650,1708615941,1708617171,ACCEPT,OK,ingress,us-east-1,376638473637,0,5
flow-ext-8387905b69664239,eni-a18138913f2e4052,98.113.147.251,0,0,1,893,47683,1706414505,1706417899,ACCEPT,OK,ingress,eu-north-1,774037081209,0,4
flow-ext-37afaca55e844d07,eni-0c74377836dc4a15,181.209.56.220,62172,995,6,864,4972,1708697682,1708700791,ACCEPT,SKIPDATA,egress,us-west-2,737721152805,6,5
flow-ext-42d29a6329394c87,eni-8a6667e2c2a04ecf,31.35.49.213,35250,995,17,699,53027,1708864962,1708868521,REJECT,OK,ingress,us-west-2,338418890459,0,3
flow-ext-cc48af08b91e4068,eni-0dedd44397ba4d96,211.119.250.138,57250,993,6,111,7499,1708999686,1709001015,ACCEPT,SKIPDATA,ingress,eu-north-1,671329187999,90,6
flow-ext-00a804746cfb4a18,eni-d7e7edcec44b4888,190.60.54.102,63772,110,17,950,12886,1706881326,1706883397,ACCEPT,OK,ingress,ap-southeast-1,154336530164,0,8
flow-ext-ee8ae970a4e140ed,eni-67f7e38fa88f4ce7,218.186.239.93,0,0,1,521,23598,1707810229,1707812820,ACCEPT,SKIPDATA,egress,us-west-2,339008537231,0,5
flow-ext-a1dcc33fa5d44e94,eni-8dabe404fb424e0b,216.89.251.233,51988,22,6,221,61632,1704245105,1704246408,ACCEPT,SKIPDATA,ingress,us-east-1,432881868580,198,7
flow-ext-42ced4ab100942f7,eni-d28bd9ffcc5141ff,18.214.171.195,53320,110,6,128,28271,1706803232,1706804128,ACCEPT,NODATA,egress,eu-north-1,858902367610,145,2
flow-ext-874c180adad34210,eni-af90b54efaf24e79,110.151.101.61,65417,5432,6,660,43106,1705425354,1705426484,ACCEPT,NODATA,ingress,eu-north-1,956406387419,239,6
flow-ext-890b1d79a4d0464c,eni-8941c0a8801b4b6a,72.57.1.153,0,0,1,811,45675,1706442187,1706445574,ACCEPT,SKIPDATA,egress,us-west-2,349477838711,0,8
