id,from_interface_id,to_interface_id,srcport,dstport,protocol,packets,bytes,windowstart,windowend,action,flowlogstatus,flow_direction,region,account_id,tcp_flags,traffic_path
flow-int-c9e1314ea4ed4719,eni-6b79a241518b41b3,eni-f5ab72f255a243a5,0,0,1,395,26402,1707555444,1707556591,ACCEPT,OK,egress,eu-north-1,385990298495,0,2
flow-int-6076d5f6a5e04ee6,eni-ddd48466168f460f,eni-5e03f844e5074b63,0,0,1,344,29401,1704586463,1704589475,ACCEPT,SKIPDATA,ingress,us-west-2,252841412732,0,2
flow-int-0b4a19eb71f24574,eni-643c5b22a1504899,eni-40aef77829c64fdb,33325,25,17,85,2473,1709205988,1709207110,ACCEPT,NODATA,ingress,us-east-1,837463533548,0,1
flow-int-3deaef477860444f,eni-1f3c7243bdab41c3,eni-b531ba35e0e64d9a,41771,443,6,272,515,1707683265,1707683557,ACCEPT,SKIPDATA,ingress,us-east-1,613155037284,135,4
flow-int-e360704b558b4027,eni-ec197cc65e664790,eni-f8919fe73bbf4518,0,0,1,473,10135,1707096323,1707099025,ACCEPT,OK,egress,ap-southeast-1,175457509035,0,3
flow-int-90fec64eeb3941d9,eni-05ac9d874ab849df,eni-8635b0b3466b4435,0,0,1,309,20734,1705953918,1705956797,REJECT,SKIPDATA,ingress,ap-southeast-1,934613996513,0,8
flow-int-d12ae8fd2c2d486b,eni-6150094f59fb42eb,eni-f58c7a4f9e534bc9,39581,23,6,354,21219,1705636386,1705639646,ACCEPT,OK,egress,us-west-2,229625008298,95,2
flow-int-1a6d61dd3cfc4964,eni-aba441635a274053,eni-7296a47cacf248ac,57601,993,17,269,13248,1704663928,1704664542,ACCEPT,OK,egress,us-east-1,565171129671,0,2
flow-int-53089344c8f04a38,eni-dc492603548e426e,eni-e840bd99224144e5,50396,443,17,91,11902,1708409798,1708411859,ACCEPT,SKIPDATA,ingress,ap-southeast-1,233662940401,0,8
flow-int-1d91a3fc5a504bd2,eni-231ba13cccf5426f,eni-9ba2dbb4819b441e,47243,143,6,1,29789,1708564588,1708566263,ACCEPT,SKIPDATA,egress,eu-north-1,341569546345,239,3
flow-int-67319ffd90e84dea,eni-cea372e4709449ce,eni-09a154a8e10a403f,33266,3389,17,287,5498,1708280842,1708280921,REJECT,SKIPDATA,egress,ap-southeast-1,968596987086,0,7
flow-int-57fdd0191cca4c37,eni-b188e3dfb2aa4d42,eni-d844af683ed247fe,62164,22,6,100,5798,1706720914,1706722943,ACCEPT,NODATA,ingress,us-east-1,981474505850,146,4
flow-int-ffc82c22b7ec4f99,eni-379c9c29b7da44d1,eni-8bea2135975c4ace,51253,143,6,311,11962,1704301089,1704302873,ACCEPT,NODATA,egress,us-east-1,605553064378,42,2
flow-int-0e7a6c2dfa664db1,eni-242a87fa66144500,eni-a84797a82a914727,50534,3306,6,462,5920,1706841236,1706842749,ACCEPT,SKIPDATA,egress,us-west-2,924560594464,148,8
flow-int-1231c6051c9a44b9,eni-93adcea0c77341d7,eni-2830b07d814642dd,0,0,1,456,6632,1704952502,1704954107,REJECT,OK,ingress,us-west-2,553132470021,0,4
flow-int-ac3aa222bfcc44bc,eni-4bf5ddb5c40c4bc2,eni-7fb7ed83070d4e87,47747,23,6,473,19980,1706514263,1706515418,REJECT,OK,ingress,us-west-2,164409396500,238,5
flow-int-ed499de59cb9483f,eni-d794250b80934f7e,eni-55b72821e7904a26,0,0,1,444,29077,1708320303,1708322151,ACCEPT,SKIPDATA,egress,ap-southeast-1,844187342684,0,3
flow-int-56a7629d16a642c7,eni-035243f9eed840d4,eni-7df95439185e488d,0,0,1,402,25825,1709107112,1709108711,ACCEPT,OK,ingress,us-east-1,849005105039,0,7
flow-int-c360330447934b6e,eni-763be058e25f4673,eni-63a9bb4e02704ad5,0,0,1,44,19096,1706981726,1706985211,ACCEPT,NODATA,ingress,eu-north-1,444458071618,0,6
flow-int-f8d0869355854d5c,eni-ce742fac640f4396,eni-bcc4cd5739474e6d,50177,25,17,403,17918,1704826449,1704828217,ACCEPT,NODATA,egress,us-west-2,799844211922,0,8
flow-int-a10e1ebf01fc4d35,eni-c397f6515a244a48,eni-d345f7e6749044b5,50254,25,6,326,22744,1706314214,1706316028,ACCEPT,OK,egress,ap-southeast-1,401650398293,178,7
flow-int-9c31ab7f52c340cf,eni-a85b8baa56a44e1b,eni-d768fab851e94db4,32990,23,17,196,22096,1705307245,1705308103,ACCEPT,OK,egress,us-east-1,978144267732,0,3
flow-int-1196d201d1a44adc,eni-1c7eac2a04ab4eb5,eni-e982e3d4de11483c,0,0,1,163,8952,1709160704,1709162263,REJECT,OK,egress,ap-southeast-1,894082748139,0,7
flow-int-6ca4ee76ef824b51,eni-f8222ce39c724151,eni-c0312f90d3cb4a8d,0,0,1,143,16936,1705692882,1705694215,REJECT,OK,ingress,us-east-1,696972718050,0,6
flow-int-63d574a2c8194cfb,eni-b5e3ae2ecaf14a0b,eni-299c893b37b54f2c,0,0,1,289,24854,1704242862,1704243425,ACCEPT,OK,ingress,eu-north-1,401461887747,0,3
flow-int-90eeaef05177479c,eni-61d7e61ba06b46ae,eni-a86640340d6a4cf6,42109,993,6,407,13974,1707795081,1707798354,REJECT,SKIPDATA,egress,ap-southeast-1,972801274857,178,7
flow-int-298b40a289934093,eni-26643120deb54597,eni-57d34f8015fb4d36,45152,993,6,361,25100,1708091742,1708093044,ACCEPT,SKIPDATA,ingress,eu-north-1,170946933618,81,8
flow-int-f53afebdcf1a456d,eni-113ef17366bd4d8f,eni-a259408c9bd44465,55049,22,17,2,14547,1705492935,1705495887,ACCEPT,SKIPDATA,ingress,us-east-1,717256438075,0,4
flow-int-c6a0059d11374134,eni-e7052ce010784738,eni-5783d9f242404a06,0,0,1,5,27598,1706389610,1706389944,ACCEPT,SKIPDATA,ingress,ap-southeast-1,506179233862,0,7
flow-int-1c22586e4eb84d44,eni-bcc87877471a4b40,eni-8a50657ff0504440,0,0,1,10,13879,1707556742,1707557618,ACCEPT,NODATA,ingress,ap-southeast-1,845804738067,0,5
flow-int-5bf4e8d3b3e44aa2,eni-6001e4356e5b458a,eni-274c479d2e974e4e,0,0,1,224,9861,1705705613,1705707190,ACCEPT,OK,egress,us-west-2,990251895645,0,4
flow-int-b747fbb56f39417d,eni-011f0aad8c274d75,eni-bd9070662dbb4755,0,0,1,216,5440,1705030507,1705030866,ACCEPT,NODATA,egress,us-west-2,807619131776,0,2
flow-int-4c8f087a82324a0d,eni-5c31945cb6ce4063,eni-33ea7de71008476c,58088,110,17,39,23144,1705387670,1705390660,ACCEPT,NODATA,ingress,us-west-2,817215810731,0,1
flow-int-2edf829b934949b6,eni-9406df79d45b40c1,eni-6da6eca7f6104c65,41376,22,17,196,21765,1708936866,1708938707,ACCEPT,OK,ingress,us-west-2,529409250083,0,7
flow-int-abcdd26252694855,eni-2df7e4b078264386,eni-b6600d20b6974356,62088,3389,17,431,26737,1704241667,1704245114,ACCEPT,NODATA,egress,ap-southeast-1,694854225629,0,7
flow-int-8fc1a176181740be,eni-e44b58e2457a46fa,eni-f22ddfdf33b04c7f,0,0,1,375,15383,1708269670,1708273171,ACCEPT,NODATA,egress,us-west-2,781855630077,0,4
flow-int-1827a2b705db4681,eni-4bddfbcb34b0439b,eni-45339ad3be3c4b95,52288,53,6,230,13841,1708516469,1708519820,ACCEPT,OK,ingress,eu-north-1,127416240663,88,2
flow-int-a6577a63e1c944ef,eni-72118709514f407b,eni-38bd6d9418a74410,51950,80,17,182,24904,1705634322,1705637798,ACCEPT,SKIPDATA,ingress,us-east-1,544330949246,0,2
flow-int-a3976e084463453f,eni-34d3752013ff4f89,eni-aa00919eccf7486c,0,0,1,182,22112,1707293126,1707294790,ACCEPT,NODATA,egress,eu-north-1,832811626811,0,5
flow-int-0ac0831f1e484ef6,eni-fb8896f4af844367,eni-fd23897b77d6491b,53104,995,6,225,26581,1704550458,1704553493,ACCEPT,NODATA,ingress,eu-north-1,740390806897,187,1
flow-int-636bd63e7cde40a0,eni-014d8203db68473d,eni-89de5ecbd1734c85,0,0,1,391,18768,1709118952,1709121868,REJECT,OK,egress,us-east-1,425481121296,0,8
flow-int-441aea5f0c6044cf,eni-aeed2c4e5f5a4381,eni-57a57a04aede4ecd,45466,3306,17,221,19472,1705156472,1705157662,ACCEPT,OK,egress,ap-southeast-1,171517795775,0,6
flow-int-2ccf78bbd55c43ac,eni-8fe23aec2fcb4ff4,eni-b3b8c3480e1d47f3,33554,443,17,220,12135,1708725674,1708728950,ACCEPT,OK,ingress,us-east-1,287307363887,0,2
flow-int-6b9329e849fa49a6,eni-64fa25bf616b4524,eni-4a27e4ccc0924d26,41016,5432,6,328,3842,1707682539,1707683311,ACCEPT,SKIPDATA,ingress,eu-north-1,374527624395,239,1
flow-int-fcc3d33e345b4c91,eni-26c2be7b1a1447de,eni-81440ccd18e44ec7,33824,443,17,44,13431,1705493308,1705496000,ACCEPT,SKIPDATA,ingress,eu-north-1,372340066275,0,6
flow-int-5629c4b674e94951,eni-33464fe2f9ef42a2,eni-60cec0a7a40b4a9c,0,0,1,486,2918,1705939757,1705943037,ACCEPT,SKIPDATA,ingress,us-east-1,493711467150,0,7
flow-int-90b6cc19fda1407e,eni-dda7f0186db8441e,eni-21e8110111e54753,50356,443,17,238,16254,1704967121,1704968730,ACCEPT,OK,ingress,us-east-1,701433434156,0,5
flow-int-40dfc28aeb7f40c2,eni-d2974a03ef7d47b8,eni-2733df75bcfc45a2,33345,993,17,257,19006,1708303099,1708306258,ACCEPT,NODATA,ingress,eu-north-1,866345094241,0,2
flow-int-f20f0de761e64728,eni-03d49652cc4c4fab,eni-0c2ac0bb051d4cce,0,0,1,382,32369,1704233516,1704235469,ACCEPT,OK,egress,us-east-1,747424108528,0,1
flow-int-73b51066ff714c0f,eni-3ee9fc206d2b44d7,eni-3f0b91bb0d064a2c,60311,22,6,154,1631,1707121560,1707124335,ACCEPT,SKIPDATA,egress,us-east-1,576944827571,156,5
flow-int-478ee7f6de1e4dc5,eni-51183dbcb6f9494c,eni-f5e471f8b58543d4,0,0,1,364,29604,1708855407,1708858615,ACCEPT,NODATA,egress,ap-southeast-1,294024342567,0,3
flow-int-6500939c55b24036,eni-5435779008c6412d,eni-b099ec8877ca4b5f,45610,110,17,60,22908,1708562088,1708563562,ACCEPT,SKIPDATA,ingress,eu-north-1,836810452285,0,4
flow-int-40db7a8ab699423f,eni-d4b0e7e190814534,eni-26103626a9a34826,38942,443,6,314,2242,1708750282,1708752948,ACCEPT,SKIPDATA,egress,ap-southeast-1,774719903436,83,2
flow-int-74cf9da66ee84461,eni-d232db17af2d43df,eni-61d0d09a435a4c65,53941,23,17,116,4573,1705032996,1705036303,ACCEPT,OK,ingress,us-east-1,575459960387,0,2
flow-int-890544261f3e4f71,eni-c621227350274984,eni-061a5d57419c4711,0,0,1,137,31361,1706312037,1706314966,ACCEPT,SKIPDATA,egress,us-east-1,582747699751,0,3
flow-int-b04cb3fbc9ce4e7e,eni-ffc869530a6d4561,eni-1eaf9f2fb3bb41cd,50408,143,6,74,2822,1707407714,1707409157,ACCEPT,OK,egress,eu-north-1,559790445513,238,4
flow-int-cd49b08e67c3486a,eni-4239ea5b27334240,eni-0b858db11c484af8,36808,5432,6,48,4221,1705167798,1705168794,ACCEPT,OK,ingress,us-east-1,952734392516,219,3
flow-int-0ad4f5b223014869,eni-dddbd146cbaa493c,eni-3ba4543e98bc4f2a,0,0,1,288,259,1707617981,1707618485,ACCEPT,OK,egress,ap-southeast-1,939978815732,0,1
