id,mac_address,description,private_ip_address,private_dns_name,public_ip,status,subnetid,interface_type,source_dest_check
eni-3d49a59c93ed4303,d3:69:b4:dd:b2:67,Interface 2 for i-d3dddd5658754a71,10.143.61.224,ip-10-143-61-224.ec2.internal,53.211.45.116,attaching,subnet-35c512c8a1c84aa9,interface,False
eni-8df46f41422c4c85,db:92:5e:8b:b5:20,Interface 1 for i-8bf7d94c153c4824,10.40.201.120,ip-10-40-201-120.ec2.internal,54.15.31.237,in-use,subnet-fce80d037aac45f1,interface,True
eni-f7186629d3684999,59:35:bd:e2:91:bd,Interface 2 for i-8bf7d94c153c4824,10.245.14.225,ip-10-245-14-225.ec2.internal,52.253.39.23,detaching,subnet-491196a60d164ae6,interface,True
eni-85190444fc7e4c0c,1b:34:d9:5c:eb:25,Interface 1 for i-10b36f6150e14401,10.198.233.134,ip-10-198-233-134.ec2.internal,54.49.161.183,in-use,subnet-6220c09b37764b3d,efa,False
eni-c3298ecf93984192,69:c9:0d:e2:e1:79,Interface 2 for i-10b36f6150e14401,10.132.206.23,ip-10-132-206-23.ec2.internal,54.254.156.110,attaching,subnet-9e729379b92d42ff,interface,True
eni-bcd4f302fcc14274,32:52:2c:b0:3c:60,Interface 3 for i-10b36f6150e14401,10.189.80.29,ip-10-189-80-29.ec2.internal,53.22.163.17,available,subnet-1bdfc8b0137643a2,efa,True
eni-499dc13f81ab4d07,7a:41:5b:93:25:1f,Interface 1 for i-bb7470b09ecc49b3,10.139.122.36,ip-10-139-122-36.ec2.internal,54.97.11.156,attaching,subnet-ecab694e60ea46bf,interface,False
eni-1b4fd0b71dad4136,93:f3:76:60:f2:d4,Interface 2 for i-bb7470b09ecc49b3,10.152.100.202,ip-10-152-100-202.ec2.internal,54.40.26.214,attaching,subnet-ecab694e60ea46bf,interface,False
eni-200075a6bd1e4feb,d0:b7:6d:ca:3f:5f,Interface 1 for i-c65a27f5a7114509,10.99.224.71,ip-10-99-224-71.ec2.internal,54.197.47.186,attaching,subnet-c992af5b44064881,efa,False
eni-613030db3eb5442c,c8:cd:09:ad:e4:3b,Interface 1 for i-c00424d2e8584725,10.152.200.90,ip-10-152-200-90.ec2.internal,54.125.167.184,available,subnet-96915c2c9bf84c7a,efa,True
eni-e8b9e1bcd3e04e2f,ff:46:83:40:41:4c,Interface 2 for i-c00424d2e8584725,10.122.1.44,ip-10-122-1-44.ec2.internal,53.106.225.159,attaching,subnet-04959c10ae634b9c,interface,True
eni-7345d34fc63a43db,df:0f:b5:61:f2:fc,Interface 3 for i-c00424d2e8584725,10.58.126.205,ip-10-58-126-205.ec2.internal,54.117.36.189,available,subnet-9543070158c74db1,efa,False
eni-16b0fa4a60ec4bb5,22:e9:71:b7:e0:31,Interface 1 for i-47bd96fd569441e0,10.93.255.173,ip-10-93-255-173.ec2.internal,52.130.184.253,attaching,subnet-35c512c8a1c84aa9,efa,False
eni-880616a22890412c,d8:d9:ee:1b:05:e5,Interface 1 for i-eeb128347fe240ab,10.173.45.171,ip-10-173-45-171.ec2.internal,54.191.157.37,detaching,subnet-35c512c8a1c84aa9,interface,False
eni-860c134fd04c460d,d6:6e:e5:be:f6:97,Interface 2 for i-eeb128347fe240ab,10.245.195.6,ip-10-245-195-6.ec2.internal,53.27.247.227,in-use,subnet-a7a8144e75234345,efa,True
eni-5b64d8d6de6c4832,9d:74:82:ed:39:a7,Interface 3 for i-eeb128347fe240ab,10.123.220.163,ip-10-123-220-163.ec2.internal,54.3.252.29,detaching,subnet-491196a60d164ae6,interface,True
eni-c0a19ce9c8f94fc7,65:c9:27:2f:8c:36,Interface 1 for i-d691a71a62e941d0,10.146.186.201,ip-10-146-186-201.ec2.internal,54.181.118.136,in-use,subnet-b82125089b06404f,interface,True
eni-f8222ce39c724151,a3:57:c1:73:45:e4,Interface 2 for i-d691a71a62e941d0,10.67.5.49,ip-10-67-5-49.ec2.internal,53.160.187.19,in-use,subnet-9e729379b92d42ff,interface,False
eni-702638b17c4b452b,ea:47:c7:8b:3d:93,Interface 3 for i-d691a71a62e941d0,10.156.251.215,ip-10-156-251-215.ec2.internal,54.224.193.75,detaching,subnet-b82125089b06404f,efa,False
eni-8cdb8a253e07482d,3b:e3:29:19:d9:bc,Interface 1 for i-86229f1e8bf84cbd,10.22.247.164,ip-10-22-247-164.ec2.internal,53.78.159.232,associated,subnet-35c512c8a1c84aa9,efa,False
eni-c83d230cdbcf4db7,4c:2a:3a:8b:3f:57,Interface 2 for i-86229f1e8bf84cbd,10.218.149.128,ip-10-218-149-128.ec2.internal,53.207.67.189,associated,subnet-a7a8144e75234345,interface,False
eni-9472914a4ed24017,63:af:c3:f5:93:a2,Interface 3 for i-86229f1e8bf84cbd,10.137.23.161,ip-10-137-23-161.ec2.internal,54.168.45.150,associated,subnet-68295b18900144ad,efa,False
eni-99d5b71207b74674,89:5b:8e:80:41:24,Interface 1 for i-a24254befbb64509,10.29.161.21,ip-10-29-161-21.ec2.internal,52.241.16.62,available,subnet-35c512c8a1c84aa9,efa,True
eni-309e456df421459d,f1:ac:4d:f0:fa:72,Interface 2 for i-a24254befbb64509,10.172.175.110,ip-10-172-175-110.ec2.internal,54.15.17.107,attaching,subnet-c422153d2d264a20,interface,True
eni-d38940bdff9d4f52,65:2b:53:b6:81:c1,Interface 3 for i-a24254befbb64509,10.17.92.155,ip-10-17-92-155.ec2.internal,52.195.42.240,in-use,subnet-96915c2c9bf84c7a,interface,False
eni-931614c42fb84978,3c:64:62:a9:3e:56,Interface 1 for i-89f5d31d75864507,10.206.35.38,ip-10-206-35-38.ec2.internal,54.221.197.32,in-use,subnet-9e729379b92d42ff,interface,True
eni-fe27b3c05d8a45e5,a5:4a:4d:3a:3d:31,Interface 2 for i-89f5d31d75864507,10.149.121.133,ip-10-149-121-133.ec2.internal,52.33.14.89,detaching,subnet-b82125089b06404f,interface,True
eni-46ca97fd47cf456c,a3:6b:13:0d:05:4b,Interface 3 for i-89f5d31d75864507,10.244.125.14,ip-10-244-125-14.ec2.internal,54.86.242.216,associated,subnet-9543070158c74db1,interface,False
eni-c8e8ce5cbc164ece,cb:1a:2f:77:f7:42,Interface 1 for i-c676d1f744f145ab,10.220.72.113,ip-10-220-72-113.ec2.internal,52.255.196.25,associated,subnet-050903050f8c40d6,interface,False
eni-3b386b80084a410a,60:3e:bf:c0:47:7b,Interface 2 for i-c676d1f744f145ab,10.68.83.99,ip-10-68-83-99.ec2.internal,53.111.44.50,associated,subnet-04959c10ae634b9c,interface,True
eni-0e392649a9cd4c57,5a:bf:0d:84:23:d5,Interface 1 for i-c5d4cec70b1e4d31,10.172.245.46,ip-10-172-245-46.ec2.internal,53.165.124.201,in-use,subnet-9e729379b92d42ff,interface,False
eni-ff6b31ef443f4e39,cd:55:68:d2:b9:92,Interface 2 for i-c5d4cec70b1e4d31,10.182.37.104,ip-10-182-37-104.ec2.internal,54.113.187.37,detaching,subnet-050903050f8c40d6,interface,False
eni-67d7b86e7dcc436f,d5:02:ff:98:8a:22,Interface 3 for i-c5d4cec70b1e4d31,10.178.7.214,ip-10-178-7-214.ec2.internal,54.128.210.36,available,subnet-68295b18900144ad,efa,False
eni-a84ed1f11eca4c68,b3:01:86:73:ce:0f,Interface 1 for i-24d408cc13c24bc1,10.228.164.156,ip-10-228-164-156.ec2.internal,53.239.26.12,detaching,subnet-a94a6d69f6de405c,interface,True
eni-361d8ebeb8214d33,77:84:c8:e3:0b:2a,Interface 1 for i-551985688fbc444c,10.227.79.2,ip-10-227-79-2.ec2.internal,52.63.13.203,available,subnet-ecab694e60ea46bf,interface,False
eni-f456fb6048bf42bf,a7:5f:27:ae:a0:54,Interface 1 for i-22e1c2b25e1341c8,10.250.58.36,ip-10-250-58-36.ec2.internal,54.43.10.208,attaching,subnet-532865b57c9c43f8,efa,False
eni-32ff1291d67440cb,ab:5c:a8:fe:82:ae,Interface 1 for i-f1484132b0b54dad,10.108.114.147,ip-10-108-114-147.ec2.internal,53.196.20.218,in-use,subnet-68295b18900144ad,interface,False
eni-6115d3b4370b4b97,87:e0:40:bb:8c:fd,Interface 1 for i-49f81801aa974f4f,10.155.232.219,ip-10-155-232-219.ec2.internal,52.120.9.56,in-use,subnet-1bdfc8b0137643a2,efa,True
eni-dd79772daedc4f32,c5:d1:df:0f:0a:c5,Interface 1 for i-0b10cfd5a6c143c5,10.47.166.191,ip-10-47-166-191.ec2.internal,53.18.149.51,available,subnet-fce80d037aac45f1,efa,True
eni-9c1f41685e354843,f7:5b:45:56:f8:c7,Interface 2 for i-0b10cfd5a6c143c5,10.211.128.192,ip-10-211-128-192.ec2.internal,52.228.16.195,available,subnet-e4fdf8247d2248b8,interface,False
eni-b97f82316f634ef9,29:b6:2a:c6:e0:8e,Interface 3 for i-0b10cfd5a6c143c5,10.109.84.90,ip-10-109-84-90.ec2.internal,54.169.83.227,attaching,subnet-050903050f8c40d6,interface,False
eni-c5ccb6e68c58456e,87:2b:2f:f5:d7:02,Interface 1 for i-d1885b739cb94cec,10.36.18.219,ip-10-36-18-219.ec2.internal,54.41.50.244,attaching,subnet-6220c09b37764b3d,interface,True
eni-785040a700794835,6c:7b:c8:48:a6:68,Interface 1 for i-7a6e8763f0214633,10.249.100.24,ip-10-249-100-24.ec2.internal,53.59.153.141,in-use,subnet-96915c2c9bf84c7a,efa,False
eni-14e3ba3f225f4fb2,b5:cd:62:0d:f6:e0,Interface 1 for i-acb4350cd77945df,10.119.94.139,ip-10-119-94-139.ec2.internal,52.160.166.174,detaching,subnet-e4fdf8247d2248b8,interface,True
eni-16e847f0633d4992,29:14:65:03:cf:0d,Interface 2 for i-acb4350cd77945df,10.180.57.146,ip-10-180-57-146.ec2.internal,53.92.141.166,associated,subnet-1bdfc8b0137643a2,efa,False
eni-9a6db96a6bc14628,06:9e:da:a7:64:cd,Interface 1 for i-d2f0b46d8ea04cba,10.53.213.176,ip-10-53-213-176.ec2.internal,53.208.204.194,available,subnet-a7a8144e75234345,efa,False
eni-1ee413e48acb4485,c9:1f:5d:e4:a0:06,Interface 2 for i-d2f0b46d8ea04cba,10.198.92.163,ip-10-198-92-163.ec2.internal,53.227.189.64,in-use,subnet-e034761f19b34fd5,efa,False
eni-f361d4c5cb2b43e5,5b:b7:13:fa:e3:69,Interface 3 for i-d2f0b46d8ea04cba,10.187.117.98,ip-10-187-117-98.ec2.internal,53.251.246.168,available,subnet-050903050f8c40d6,efa,True
eni-ef625d2210df4e2d,4d:be:05:19:d4:b9,Interface 1 for i-2b589ee0dc484869,10.138.203.82,ip-10-138-203-82.ec2.internal,54.81.38.30,in-use,subnet-c422153d2d264a20,efa,True
eni-04988a0501254229,f0:93:52:db:39:8c,Interface 2 for i-2b589ee0dc484869,10.239.63.192,ip-10-239-63-192.ec2.internal,52.131.74.155,detaching,subnet-491196a60d164ae6,efa,True
eni-a58b56f8c20e4b7d,08:8e:13:ca:53:24,Interface 1 for i-b00edd31964745dc,10.136.148.56,ip-10-136-148-56.ec2.internal,54.75.168.28,attaching,subnet-9e729379b92d42ff,efa,True
eni-e14dc5b3ab454fd3,d4:03:cf:c7:eb:6f,Interface 1 for i-0f76e8aa0c154173,10.98.6.223,ip-10-98-6-223.ec2.internal,54.42.166.89,in-use,subnet-c422153d2d264a20,interface,False
eni-ac6d2bc47547445a,0f:7d:1f:77:ab:c4,Interface 2 for i-0f76e8aa0c154173,10.119.202.165,ip-10-119-202-165.ec2.internal,52.130.244.1,associated,subnet-6220c09b37764b3d,interface,True
eni-8f383da8d8454799,5d:bf:1c:59:b9:7f,Interface 1 for i-01867a982e3849dc,10.183.39.202,ip-10-183-39-202.ec2.internal,53.80.249.147,attaching,subnet-532865b57c9c43f8,efa,True
eni-5655dd954a5243c2,2f:0f:05:6c:32:8d,Interface 2 for i-01867a982e3849dc,10.225.221.24,ip-10-225-221-24.ec2.internal,54.13.184.115,in-use,subnet-fce80d037aac45f1,efa,False
eni-f3865c6152714ec8,d2:56:ff:27:5b:60,Interface 1 for i-67d693515aeb4c20,10.7.119.123,ip-10-7-119-123.ec2.internal,54.145.138.49,available,subnet-fce80d037aac45f1,efa,False
eni-cfb91d7777494b88,12:85:f0:48:5c:f7,Interface 1 for i-8a61417824c94a2a,10.156.222.106,ip-10-156-222-106.ec2.internal,53.246.182.230,associated,subnet-c422153d2d264a20,efa,False
eni-9a0f1ffe27dc4005,3c:1d:eb:f0:78:b4,Interface 2 for i-8a61417824c94a2a,10.10.215.194,ip-10-10-215-194.ec2.internal,52.61.42.235,available,subnet-e034761f19b34fd5,interface,False
eni-19ec4384ed024980,d1:e1:85:2f:8f:3f,Interface 1 for i-5affe2699ad74fb1,10.168.183.160,ip-10-168-183-160.ec2.internal,53.120.231.253,in-use,subnet-ecab694e60ea46bf,interface,True
eni-65fe89fbba3d4697,da:86:c8:4b:23:b3,Interface 2 for i-5affe2699ad74fb1,10.224.227.167,ip-10-224-227-167.ec2.internal,53.60.115.207,associated,subnet-532865b57c9c43f8,efa,False
eni-5eb9ec1edd124b97,c5:63:c6:90:db:d6,Interface 1 for i-2255e989da52496b,10.147.254.144,ip-10-147-254-144.ec2.internal,53.91.226.176,in-use,subnet-6220c09b37764b3d,efa,True
eni-140acca269674006,2b:ec:47:7c:b7:ac,Interface 2 for i-2255e989da52496b,10.245.67.220,ip-10-245-67-220.ec2.internal,54.55.6.199,associated,subnet-050903050f8c40d6,interface,False
eni-ce73afa56ec04bda,16:0c:3f:95:53:ba,Interface 1 for i-e2525182407a4e9c,10.240.34.147,ip-10-240-34-147.ec2.internal,52.156.247.217,in-use,subnet-68295b18900144ad,interface,True
eni-b7f62ff1ab1840f6,58:9a:d8:1f:12:30,Interface 2 for i-e2525182407a4e9c,10.212.113.234,ip-10-212-113-234.ec2.internal,52.37.13.22,associated,subnet-a94a6d69f6de405c,efa,False
eni-d4b927ac0dbe4538,f5:59:53:bc:f1:32,Interface 3 for i-e2525182407a4e9c,10.196.14.79,ip-10-196-14-79.ec2.internal,52.53.14.231,associated,subnet-04959c10ae634b9c,efa,True
eni-92e732a973044704,ae:85:d6:4c:c2:fa,Interface 1 for i-17636414919f4d85,10.235.51.127,ip-10-235-51-127.ec2.internal,53.92.98.46,detaching,subnet-68295b18900144ad,efa,True
eni-13b00d2a7cc74680,68:1d:71:fa:ef:03,Interface 1 for i-3ee4df7fd536499b,10.212.60.139,ip-10-212-60-139.ec2.internal,52.48.162.171,associated,subnet-1bdfc8b0137643a2,interface,False
eni-f2fbb4b5dbcf4ba6,d6:55:39:b1:61:70,Interface 1 for i-97b9c469ba084c7d,10.184.28.199,ip-10-184-28-199.ec2.internal,53.69.112.224,available,subnet-6220c09b37764b3d,efa,False
eni-4ee35952f22947df,23:7c:94:db:f8:a9,Interface 2 for i-97b9c469ba084c7d,10.8.100.180,ip-10-8-100-180.ec2.internal,53.160.44.64,available,subnet-6220c09b37764b3d,efa,True
eni-e6ec06611d194008,db:eb:0b:b9:ab:1f,Interface 3 for i-97b9c469ba084c7d,10.240.233.144,ip-10-240-233-144.ec2.internal,53.195.140.2,detaching,subnet-ecab694e60ea46bf,efa,False
eni-1dfc2dc417364dc6,39:83:82:34:e1:80,Interface 1 for i-e48d753d78c44dad,10.115.61.105,ip-10-115-61-105.ec2.internal,52.41.6.151,available,subnet-96915c2c9bf84c7a,efa,False
eni-e3967b59fdf54bfc,a1:43:e6:4a:7d:e5,Interface 2 for i-e48d753d78c44dad,10.108.199.102,ip-10-108-199-102.ec2.internal,53.50.38.66,associated,subnet-a7a8144e75234345,interface,True
eni-15c3030e936145d0,59:55:15:a5:b9:05,Interface 3 for i-e48d753d78c44dad,10.129.242.57,ip-10-129-242-57.ec2.internal,53.70.142.122,available,subnet-ecab694e60ea46bf,interface,True
eni-aa6b45a04e5148e9,48:28:2a:ab:cd:59,Interface 1 for i-2dc78ec5c00940c2,10.121.242.113,ip-10-121-242-113.ec2.internal,54.172.139.57,available,subnet-a7a8144e75234345,efa,False
eni-abf3126f12d5451e,43:e9:41:e8:a9:fe,Interface 1 for i-835eac58a2c645b3,10.195.151.253,ip-10-195-151-253.ec2.internal,53.106.235.76,detaching,subnet-a94a6d69f6de405c,efa,False
eni-1c97755175754b5f,8f:4e:25:30:31:d9,Interface 2 for i-835eac58a2c645b3,10.27.65.25,ip-10-27-65-25.ec2.internal,54.123.215.27,attaching,subnet-a7a8144e75234345,interface,True
eni-a571d8c488894814,14:19:52:40:7f:9d,Interface 1 for i-1181561b5e7848b0,10.63.29.248,ip-10-63-29-248.ec2.internal,52.88.99.132,attaching,subnet-68295b18900144ad,interface,False
eni-efcff54215b74f2b,23:c8:7b:b3:38:77,Interface 2 for i-1181561b5e7848b0,10.157.201.114,ip-10-157-201-114.ec2.internal,54.186.151.164,associated,subnet-e034761f19b34fd5,efa,False
eni-6ff0825f0ac74826,eb:eb:cc:ae:7d:1e,Interface 1 for i-0392510c55be4f43,10.54.177.186,ip-10-54-177-186.ec2.internal,53.4.140.231,available,subnet-ecab694e60ea46bf,efa,False
eni-326e58687f4d4f60,2d:70:c3:51:2f:04,Interface 2 for i-0392510c55be4f43,10.15.201.148,ip-10-15-201-148.ec2.internal,54.93.137.90,available,subnet-9543070158c74db1,interface,False
eni-a0eda7cde0884f13,3f:6f:48:a5:81:a3,Interface 1 for i-c451ef6a0a534427,10.121.255.9,ip-10-121-255-9.ec2.internal,53.113.174.183,associated,subnet-a94a6d69f6de405c,efa,True
eni-5dfdf85e16f248b5,a7:62:23:28:83:58,Interface 2 for i-c451ef6a0a534427,10.44.179.4,ip-10-44-179-4.ec2.internal,54.190.138.156,attaching,subnet-532865b57c9c43f8,efa,False
eni-12edc7f6d54f4289,9a:a5:a8:9a:1f:da,Interface 1 for i-b8990a9446214ac3,10.44.255.140,ip-10-44-255-140.ec2.internal,54.197.91.27,associated,subnet-1bdfc8b0137643a2,efa,False
eni-425fb6acac0a453f,3c:a2:74:b8:4b:fe,Interface 1 for i-c76cc15341644991,10.183.31.73,ip-10-183-31-73.ec2.internal,52.204.120.134,available,subnet-96915c2c9bf84c7a,efa,True
eni-50bbc954370842a5,d0:e3:16:5e:02:04,Interface 2 for i-c76cc15341644991,10.55.201.199,ip-10-55-201-199.ec2.internal,52.169.18.3,available,subnet-96915c2c9bf84c7a,interface,False
eni-00298e7be1f14b6c,5b:e4:f7:8a:3e:fa,Interface 3 for i-c76cc15341644991,10.67.202.128,ip-10-67-202-128.ec2.internal,53.12.47.26,in-use,subnet-491196a60d164ae6,interface,True
eni-e03037f6e5da4d3b,37:6b:30:91:fb:10,Interface 1 for i-a072ba57f74043e8,10.43.140.218,ip-10-43-140-218.ec2.internal,53.134.42.132,in-use,subnet-35c512c8a1c84aa9,efa,False
eni-724fd4c175ac4c4e,f2:1a:22:cb:f3:97,Interface 2 for i-a072ba57f74043e8,10.111.8.79,ip-10-111-8-79.ec2.internal,53.28.228.221,associated,subnet-050903050f8c40d6,efa,False
eni-261b97bb571c45a8,b7:cf:16:bc:77:ef,Interface 3 for i-a072ba57f74043e8,10.20.102.102,ip-10-20-102-102.ec2.internal,54.22.154.210,associated,subnet-68295b18900144ad,efa,False
eni-edaca8cab3c54f57,84:2f:5d:ad:77:a6,Interface 1 for i-55250a5539014ad0,10.47.178.171,ip-10-47-178-171.ec2.internal,52.85.134.232,available,subnet-c422153d2d264a20,interface,True
eni-00ffa50609464930,37:fb:8f:99:31:4f,Interface 1 for i-b6906377b9854742,10.16.9.242,ip-10-16-9-242.ec2.internal,53.233.64.119,detaching,subnet-e4fdf8247d2248b8,interface,True
eni-6db630cba77d469f,dc:e6:07:61:9c:8e,Interface 2 for i-b6906377b9854742,10.222.129.177,ip-10-222-129-177.ec2.internal,52.98.116.78,detaching,subnet-ecab694e60ea46bf,interface,True
eni-48289b3711894bb4,bf:20:6f:6e:b7:47,Interface 3 for i-b6906377b9854742,10.17.171.254,ip-10-17-171-254.ec2.internal,52.70.114.244,associated,subnet-35c512c8a1c84aa9,efa,True
eni-9aed43a168634651,93:ad:4b:aa:59:5f,Interface 1 for i-c5e0f64a059f4313,10.43.170.91,ip-10-43-170-91.ec2.internal,52.18.25.59,in-use,subnet-9543070158c74db1,interface,True
eni-75bdce2b7dea444e,5d:8d:42:65:4d:5a,Interface 1 for i-cc16f15525b14512,10.167.155.138,ip-10-167-155-138.ec2.internal,52.255.201.29,attaching,subnet-b82125089b06404f,interface,True
eni-38a2bfe96b784b8c,cf:0e:d9:2d:73:9f,Interface 2 for i-cc16f15525b14512,10.75.232.181,ip-10-75-232-181.ec2.internal,54.98.146.71,in-use,subnet-491196a60d164ae6,interface,False
eni-a120ac7288a244ff,16:c6:9e:92:f4:97,Interface 3 for i-cc16f15525b14512,10.182.252.26,ip-10-182-252-26.ec2.internal,53.170.180.167,available,subnet-9543070158c74db1,efa,False
eni-78f50c188af54a3f,51:99:9d:a3:15:1e,Interface 1 for i-d0901280d0d44303,10.59.28.71,ip-10-59-28-71.ec2.internal,54.152.198.9,detaching,subnet-04959c10ae634b9c,interface,False
eni-f1c71a4d2f4643c0,04:68:33:d3:43:49,Interface 1 for i-2c8a7c48161943a8,10.240.177.235,ip-10-240-177-235.ec2.internal,54.110.80.222,available,subnet-a7a8144e75234345,interface,False
eni-ffca0ed15ec3406f,20:dc:da:c1:c5:c9,Interface 2 for i-2c8a7c48161943a8,10.203.140.88,ip-10-203-140-88.ec2.internal,52.143.80.208,in-use,subnet-6220c09b37764b3d,efa,False
eni-97093d9062f64308,a4:8b:b2:47:a0:6b,Interface 3 for i-2c8a7c48161943a8,10.234.237.200,ip-10-234-237-200.ec2.internal,54.190.143.138,available,subnet-04959c10ae634b9c,efa,False
eni-39eaf1b9fe4b46e0,2c:de:93:37:e6:f3,Interface 1 for i-49c906b099b84f53,10.36.188.177,ip-10-36-188-177.ec2.internal,52.148.76.68,attaching,subnet-532865b57c9c43f8,efa,False
eni-a0e75215f82a4ddb,d3:26:d8:1c:93:e8,Interface 1 for i-85b9ded560cd4725,10.215.42.21,ip-10-215-42-21.ec2.internal,53.39.6.214,associated,subnet-9543070158c74db1,efa,False
eni-702888b2a48349c3,50:4f:4d:cd:87:66,Interface 1 for i-ba4b213fb37c4434,10.22.213.12,ip-10-22-213-12.ec2.internal,53.2.168.86,available,subnet-050903050f8c40d6,efa,False
eni-137ce0b1699742ce,4e:85:84:76:8d:63,Interface 2 for i-ba4b213fb37c4434,10.138.43.78,ip-10-138-43-78.ec2.internal,52.158.89.209,available,subnet-96915c2c9bf84c7a,efa,True
eni-0c2b9e56108348ce,da:30:e7:9f:b7:fb,Interface 3 for i-ba4b213fb37c4434,10.184.172.84,ip-10-184-172-84.ec2.internal,52.232.37.241,available,subnet-e034761f19b34fd5,efa,False
eni-2fe83a70b42d4539,90:85:06:e4:b2:27,Interface 1 for i-66a9fa05701140a4,10.100.190.133,ip-10-100-190-133.ec2.internal,54.171.94.177,available,subnet-6220c09b37764b3d,efa,False
eni-199ff821cb9c405c,fd:3d:b2:12:31:aa,Interface 2 for i-66a9fa05701140a4,10.130.212.216,ip-10-130-212-216.ec2.internal,52.60.170.66,in-use,subnet-35c512c8a1c84aa9,interface,False
eni-6e1f98b7989a4868,86:a4:53:e2:68:25,Interface 3 for i-66a9fa05701140a4,10.14.227.147,ip-10-14-227-147.ec2.internal,52.69.13.169,in-use,subnet-ecab694e60ea46bf,efa,True
eni-924343312e004c0c,1e:ba:b8:7d:01:8e,Interface 1 for i-b012ba7b055e416c,10.154.157.51,ip-10-154-157-51.ec2.internal,52.1.236.199,associated,subnet-ecab694e60ea46bf,efa,False
eni-7722e432ec1d418e,95:c4:3f:e2:e2:53,Interface 2 for i-b012ba7b055e416c,10.138.12.212,ip-10-138-12-212.ec2.internal,54.155.42.79,in-use,subnet-491196a60d164ae6,interface,True
eni-238c91e7f2c043a7,bc:41:54:b6:cf:e7,Interface 3 for i-b012ba7b055e416c,10.220.131.198,ip-10-220-131-198.ec2.internal,54.214.24.143,associated,subnet-c992af5b44064881,interface,False
eni-118aa411e8dd46b5,5b:04:a4:da:d8:85,Interface 1 for i-24ccb1b96d0b4383,10.171.221.203,ip-10-171-221-203.ec2.internal,53.208.93.150,available,subnet-a7a8144e75234345,interface,True
eni-fb225aed26d64867,71:91:68:0a:7a:23,Interface 1 for i-a8fd59ac038b4060,10.21.19.11,ip-10-21-19-11.ec2.internal,54.125.74.58,detaching,subnet-68295b18900144ad,efa,False
eni-360d694284394dac,72:b9:5a:df:98:22,Interface 2 for i-a8fd59ac038b4060,10.99.224.196,ip-10-99-224-196.ec2.internal,52.159.202.76,available,subnet-ecab694e60ea46bf,efa,False
eni-64cc47f9465f4e2d,be:09:b4:c6:44:65,Interface 3 for i-a8fd59ac038b4060,10.144.248.6,ip-10-144-248-6.ec2.internal,52.26.70.55,in-use,subnet-96915c2c9bf84c7a,interface,True
eni-ac7cd566295a4a50,35:47:16:4e:92:43,Interface 1 for i-06da6f02b5e14cc0,10.48.5.174,ip-10-48-5-174.ec2.internal,53.116.186.234,associated,subnet-04959c10ae634b9c,interface,False
eni-34841f453070491b,13:0f:b4:0d:48:05,Interface 2 for i-06da6f02b5e14cc0,10.136.103.200,ip-10-136-103-200.ec2.internal,52.117.187.185,associated,subnet-6220c09b37764b3d,efa,True
eni-bc336b5fa1824390,40:b4:29:77:0a:ab,Interface 1 for i-1dd034eb354746be,10.30.68.179,ip-10-30-68-179.ec2.internal,52.121.210.158,associated,subnet-a94a6d69f6de405c,interface,False
