id,imageid,instancetype,iaminstanceprofile,launchtime,launchtimeunix,monitoringstate,state,availabilityzone,tenancy,architecture,ebsoptimized,bootmode,instancelifecycle,hibernationoptions
i-c676d1f744f145ab,ami-5fef3391,r4.large,arn:aws:iam::266480780430:instance-profile/ec113634,2024-06-10T20:27:00Z,1676804159,disabling,running,eu-north-1a,default,x86_64,True,legacy-bios,,False
i-c5d4cec70b1e4d31,ami-6ae301a9,m5.large,arn:aws:iam::266480780430:instance-profile/e20ae962,2024-08-20T02:57:00Z,1665561495,pending,stopped,eu-north-1a,dedicated,x86_64,True,uefi,,True
i-24d408cc13c24bc1,ami-c03910d6,t2.micro,arn:aws:iam::266480780430:instance-profile/d2fa92b4,2024-10-12T18:27:00Z,1624718546,pending,terminated,eu-north-1b,default,x86_64,False,legacy-bios,scheduled,False
i-551985688fbc444c,ami-431713ce,c4.large,arn:aws:iam::266480780430:instance-profile/d99b365e,2024-05-27T13:11:00Z,1634199128,disabling,stopped,eu-north-1a,host,x86_64,False,legacy-bios,,False
i-22e1c2b25e1341c8,ami-9c4174cd,c4.large,arn:aws:iam::266480780430:instance-profile/be30e2c5,2024-06-26T03:03:00Z,1642332767,disabling,stopped,eu-north-1b,host,x86_64,True,uefi,spot,False
i-f1484132b0b54dad,ami-1034a224,m5.large,arn:aws:iam::266480780430:instance-profile/73571ec2,2024-11-03T14:46:00Z,1657921644,disabled,terminated,eu-north-1b,default,arm64,True,uefi,,True
i-49f81801aa974f4f,ami-bcd4b1e2,c4.large,arn:aws:iam::266480780430:instance-profile/762e63e1,2024-05-16T12:06:00Z,1654107315,pending,terminated,eu-north-1b,host,x86_64,False,uefi,spot,False
i-0b10cfd5a6c143c5,ami-fe5747e0,r4.large,arn:aws:iam::266480780430:instance-profile/489f8dfa,2024-06-08T14:32:00Z,1607911483,pending,stopped,eu-north-1b,default,arm64,True,uefi,,True
i-d1885b739cb94cec,ami-0d1a6d6c,r4.large,arn:aws:iam::266480780430:instance-profile/35c43f1a,2024-10-06T22:02:00Z,1601446454,pending,running,eu-north-1b,dedicated,x86_64,True,legacy-bios,spot,True
i-7a6e8763f0214633,ami-f370de37,r4.large,arn:aws:iam::266480780430:instance-profile/1e71ce87,2024-05-24T03:10:00Z,1648488757,disabling,running,eu-north-1a,default,arm64,True,uefi,spot,True
i-acb4350cd77945df,ami-3492b9d0,t2.micro,arn:aws:iam::266480780430:instance-profile/526903f7,2024-01-06T06:34:00Z,1689597189,pending,running,eu-north-1b,dedicated,arm64,False,legacy-bios,,True
i-d2f0b46d8ea04cba,ami-e33fcae7,r4.large,arn:aws:iam::266480780430:instance-profile/65b56296,2024-12-17T07:31:00Z,1623008564,disabling,terminated,eu-north-1a,host,x86_64,True,legacy-bios,,True
i-2b589ee0dc484869,ami-aede1842,t2.micro,arn:aws:iam::266480780430:instance-profile/e01e579c,2024-04-01T00:17:00Z,1616604290,pending,running,eu-north-1b,default,arm64,False,legacy-bios,spot,False
i-b00edd31964745dc,ami-db92f8b8,t2.micro,arn:aws:iam::266480780430:instance-profile/3fc55f56,2024-12-20T10:11:00Z,1632786695,pending,running,eu-north-1b,default,x86_64,False,uefi,,True
i-0f76e8aa0c154173,ami-74e64d91,r4.large,arn:aws:iam::266480780430:instance-profile/caf5ce87,2024-04-26T08:18:00Z,1673383083,enabled,running,eu-north-1a,host,arm64,True,uefi,spot,True
i-01867a982e3849dc,ami-58ded076,t2.micro,arn:aws:iam::266480780430:instance-profile/153a4f56,2024-03-24T02:43:00Z,1653055736,disabling,stopped,eu-north-1b,default,x86_64,True,legacy-bios,scheduled,True
i-67d693515aeb4c20,ami-8aa9c908,m5.large,arn:aws:iam::266480780430:instance-profile/4de829db,2024-09-24T20:57:00Z,1656848212,disabling,stopped,eu-north-1b,default,arm64,True,legacy-bios,scheduled,False
i-8a61417824c94a2a,ami-e582ab73,r4.large,arn:aws:iam::266480780430:instance-profile/dba007ce,2024-02-26T22:22:00Z,1676850876,disabling,running,eu-north-1a,default,arm64,True,uefi,scheduled,False
i-5affe2699ad74fb1,ami-f5ff034e,t2.micro,arn:aws:iam::266480780430:instance-profile/876f3a19,2024-08-14T05:02:00Z,1631925271,enabled,terminated,eu-north-1a,dedicated,arm64,False,legacy-bios,,False
i-2255e989da52496b,ami-f9c78d49,r4.large,arn:aws:iam::266480780430:instance-profile/8a171949,2024-11-15T21:22:00Z,1684937784,pending,running,eu-north-1a,dedicated,arm64,False,legacy-bios,,False
i-e2525182407a4e9c,ami-590a5f4b,m5.large,arn:aws:iam::266480780430:instance-profile/9c6ec3cb,2024-01-12T05:28:00Z,1687251620,disabled,stopped,eu-north-1b,default,x86_64,True,legacy-bios,,False
i-17636414919f4d85,ami-b05af65c,m5.large,arn:aws:iam::266480780430:instance-profile/6b4afe6a,2024-09-18T21:03:00Z,1664444329,disabled,terminated,eu-north-1b,default,arm64,True,uefi,scheduled,True
i-3ee4df7fd536499b,ami-07dbb78e,c4.large,arn:aws:iam::266480780430:instance-profile/8edd2565,2024-11-03T06:31:00Z,1614892753,disabled,running,eu-north-1b,default,arm64,False,uefi,spot,False
i-97b9c469ba084c7d,ami-1128a7db,m5.large,arn:aws:iam::266480780430:instance-profile/794e1985,2024-08-09T02:48:00Z,1612183081,enabled,running,eu-north-1b,host,arm64,False,uefi,spot,True
i-e48d753d78c44dad,ami-4235aa12,r4.large,arn:aws:iam::266480780430:instance-profile/f5e63d59,2024-05-26T17:55:00Z,1617784508,disabled,stopped,eu-north-1b,default,arm64,False,legacy-bios,scheduled,True
i-2dc78ec5c00940c2,ami-0c1555b2,r4.large,arn:aws:iam::266480780430:instance-profile/f88b6d48,2024-09-13T09:32:00Z,1650468501,pending,stopped,eu-north-1b,host,arm64,False,legacy-bios,spot,False
i-835eac58a2c645b3,ami-11eff719,c4.large,arn:aws:iam::266480780430:instance-profile/f47ef188,2024-01-19T11:57:00Z,1618808107,disabling,running,eu-north-1a,dedicated,arm64,False,legacy-bios,scheduled,False
i-1181561b5e7848b0,ami-99fc5cf4,m5.large,arn:aws:iam::266480780430:instance-profile/b319fcc3,2024-01-19T19:52:00Z,1639952700,pending,terminated,eu-north-1a,dedicated,x86_64,False,legacy-bios,scheduled,False
i-0392510c55be4f43,ami-2a713fca,r4.large,arn:aws:iam::266480780430:instance-profile/2954bd1a,2024-01-12T23:11:00Z,1637722783,pending,running,eu-north-1a,dedicated,arm64,True,uefi,scheduled,True
i-c451ef6a0a534427,ami-db89f103,m5.large,arn:aws:iam::266480780430:instance-profile/e789e4ce,2024-08-03T13:42:00Z,1697182966,disabling,terminated,eu-north-1b,host,arm64,False,uefi,spot,True
i-b8990a9446214ac3,ami-fb60c539,c4.large,arn:aws:iam::266480780430:instance-profile/ba7f3d1e,2024-06-22T23:50:00Z,1687201399,pending,stopped,eu-north-1b,host,x86_64,False,uefi,scheduled,True
i-c76cc15341644991,ami-62814f50,c4.large,arn:aws:iam::266480780430:instance-profile/34e775e9,2024-02-24T22:44:00Z,1674054958,disabled,running,eu-north-1b,host,x86_64,True,uefi,spot,False
i-a072ba57f74043e8,ami-c15bb347,r4.large,arn:aws:iam::266480780430:instance-profile/f3ca2ab7,2024-08-20T03:01:00Z,1636925465,pending,terminated,eu-north-1b,default,arm64,False,legacy-bios,spot,True
i-55250a5539014ad0,ami-160e8fb4,c4.large,arn:aws:iam::266480780430:instance-profile/7722fada,2024-06-22T01:21:00Z,1611523610,pending,terminated,eu-north-1b,host,arm64,True,uefi,spot,True
i-b6906377b9854742,ami-3fd58477,t2.micro,arn:aws:iam::266480780430:instance-profile/481779f8,2024-12-24T06:39:00Z,1613832527,pending,stopped,eu-north-1b,dedicated,arm64,False,uefi,scheduled,True
i-c5e0f64a059f4313,ami-e50fdabd,t2.micro,arn:aws:iam::266480780430:instance-profile/78ccc142,2024-12-10T11:33:00Z,1616640479,disabling,stopped,eu-north-1a,host,arm64,True,uefi,spot,False
i-cc16f15525b14512,ami-8b068c47,c4.large,arn:aws:iam::266480780430:instance-profile/ad70454e,2024-10-23T23:24:00Z,1604196816,pending,terminated,eu-north-1a,default,arm64,False,legacy-bios,spot,False
i-d0901280d0d44303,ami-fa31555c,r4.large,arn:aws:iam::266480780430:instance-profile/297ef8d4,2024-01-01T04:33:00Z,1625767270,disabled,stopped,eu-north-1b,dedicated,x86_64,True,legacy-bios,spot,True
i-2c8a7c48161943a8,ami-2cbef495,t2.micro,arn:aws:iam::266480780430:instance-profile/c1f979c0,2024-05-24T09:26:00Z,1604948838,disabling,terminated,eu-north-1b,dedicated,x86_64,False,legacy-bios,scheduled,False
i-49c906b099b84f53,ami-6963ae25,r4.large,arn:aws:iam::266480780430:instance-profile/244187d6,2024-02-04T06:42:00Z,1639859887,enabled,stopped,eu-north-1a,dedicated,x86_64,True,uefi,,True
i-85b9ded560cd4725,ami-7cbe87f6,m5.large,arn:aws:iam::266480780430:instance-profile/e2c7a3b1,2024-04-12T22:52:00Z,1638509436,pending,terminated,eu-north-1a,host,arm64,False,uefi,scheduled,False
i-ba4b213fb37c4434,ami-4895b8f9,t2.micro,arn:aws:iam::266480780430:instance-profile/771e779f,2024-03-01T21:52:00Z,1610604518,enabled,terminated,eu-north-1a,dedicated,x86_64,True,uefi,spot,False
i-66a9fa05701140a4,ami-553b411f,r4.large,arn:aws:iam::266480780430:instance-profile/367d28c8,2024-11-08T06:53:00Z,1631799937,disabled,terminated,eu-north-1b,host,arm64,True,legacy-bios,scheduled,False
i-b012ba7b055e416c,ami-a0ea2dca,m5.large,arn:aws:iam::266480780430:instance-profile/f92988cb,2024-11-23T16:08:00Z,1611723796,pending,stopped,eu-north-1a,default,arm64,True,uefi,,True
i-24ccb1b96d0b4383,ami-414b2ed0,c4.large,arn:aws:iam::266480780430:instance-profile/149d12f3,2024-05-01T10:00:00Z,1697410020,pending,stopped,eu-north-1b,default,x86_64,False,uefi,spot,False
i-a8fd59ac038b4060,ami-69843710,r4.large,arn:aws:iam::266480780430:instance-profile/8db0c328,2024-02-21T14:18:00Z,1672816241,disabling,terminated,eu-north-1a,default,x86_64,True,legacy-bios,spot,False
i-06da6f02b5e14cc0,ami-0f782beb,m5.large,arn:aws:iam::266480780430:instance-profile/43b46c4a,2024-10-17T19:26:00Z,1615493323,pending,terminated,eu-north-1a,host,x86_64,True,legacy-bios,spot,True
i-1dd034eb354746be,ami-b5004b12,c4.large,arn:aws:iam::266480780430:instance-profile/38b8b7db,2024-07-02T15:59:00Z,1605149785,pending,running,eu-north-1a,default,arm64,False,uefi,scheduled,False
i-2f93ea754bdc493f,ami-81d3f4f9,m5.large,arn:aws:iam::266480780430:instance-profile/640361a8,2024-05-21T18:28:00Z,1602943444,enabled,stopped,eu-north-1b,default,arm64,False,uefi,scheduled,True
i-06604964b1fd4131,ami-5ec594d1,t2.micro,arn:aws:iam::266480780430:instance-profile/2edb11e1,2024-05-08T23:40:00Z,1685444373,disabled,running,eu-north-1b,dedicated,x86_64,True,legacy-bios,scheduled,True
i-af9f815eb9b64cdc,ami-dcf59328,m5.large,arn:aws:iam::266480780430:instance-profile/ce5a0bf2,2024-12-15T07:08:00Z,1683887198,enabled,stopped,eu-north-1b,host,x86_64,False,uefi,scheduled,False
i-06511788f5be4d05,ami-48f6e0d9,t2.micro,arn:aws:iam::266480780430:instance-profile/f19d60d1,2024-05-16T08:07:00Z,1684444800,disabled,running,eu-north-1a,default,x86_64,True,legacy-bios,spot,False
i-a50386b30f32482d,ami-8ccc8214,c4.large,arn:aws:iam::266480780430:instance-profile/5494547f,2024-11-27T03:21:00Z,1688749339,pending,running,eu-north-1a,host,arm64,True,uefi,scheduled,True
i-3d51d4931387478c,ami-e406c67b,c4.large,arn:aws:iam::266480780430:instance-profile/a8d8d8e4,2024-04-01T17:18:00Z,1652589768,pending,terminated,eu-north-1a,default,x86_64,False,uefi,,True
i-a821cc4a992f400f,ami-91e7c340,t2.micro,arn:aws:iam::266480780430:instance-profile/b1412040,2024-10-17T18:21:00Z,1648355829,disabling,terminated,eu-north-1b,host,x86_64,False,uefi,,True
i-6ca41e63f6dc4a12,ami-2fc8693b,c4.large,arn:aws:iam::266480780430:instance-profile/e4423a5e,2024-10-05T02:30:00Z,1678810425,disabling,terminated,eu-north-1a,default,arm64,True,uefi,,True
i-a76df137c2df41db,ami-9b7588b0,c4.large,arn:aws:iam::266480780430:instance-profile/cb8438c3,2024-06-10T15:42:00Z,1673544240,pending,stopped,eu-north-1b,dedicated,arm64,False,legacy-bios,spot,False
i-d64a0c4375ea41f9,ami-bd26c513,t2.micro,arn:aws:iam::266480780430:instance-profile/f88448eb,2024-08-28T04:04:00Z,1646793776,disabled,terminated,eu-north-1a,default,x86_64,True,uefi,,True
i-6d45db53d8dd42ce,ami-5830a592,m5.large,arn:aws:iam::266480780430:instance-profile/b8a9dcc0,2024-01-07T21:24:00Z,1651648044,pending,terminated,eu-north-1a,host,arm64,False,uefi,,True
i-f0ec045552e044f1,ami-0df69672,r4.large,arn:aws:iam::266480780430:instance-profile/08c96915,2024-10-14T23:09:00Z,1625355889,pending,stopped,eu-north-1b,dedicated,arm64,True,uefi,scheduled,True
i-2a1bd549ed2e4399,ami-8fcadc9e,m5.large,arn:aws:iam::266480780430:instance-profile/6d7cd5db,2024-06-23T16:02:00Z,1620127472,enabled,running,eu-north-1a,host,x86_64,True,uefi,scheduled,False
i-90d76db796384a7d,ami-2bf520d2,m5.large,arn:aws:iam::266480780430:instance-profile/4b6ce0a8,2024-07-15T02:30:00Z,1669828796,enabled,running,eu-north-1b,host,x86_64,True,uefi,scheduled,False
i-750b1d85e4bb439f,ami-d08d7d82,t2.micro,arn:aws:iam::266480780430:instance-profile/98c6669d,2024-11-06T05:29:00Z,1631032997,enabled,stopped,eu-north-1b,host,x86_64,False,uefi,scheduled,True
i-9db3cae9b1f340f6,ami-02206510,r4.large,arn:aws:iam::266480780430:instance-profile/0d23eb33,2024-12-02T14:13:00Z,1600710849,disabling,terminated,eu-north-1b,host,x86_64,False,uefi,scheduled,True
i-8d1bc05e7807438a,ami-b0e7bd9e,r4.large,arn:aws:iam::266480780430:instance-profile/86c01fcf,2024-09-05T06:54:00Z,1679176111,disabled,terminated,eu-north-1a,host,x86_64,True,legacy-bios,,True
i-937d5c4411f7456f,ami-0eae151c,m5.large,arn:aws:iam::266480780430:instance-profile/e7cbca3d,2024-10-09T04:52:00Z,1666243419,disabled,stopped,eu-north-1a,host,arm64,True,legacy-bios,,True
i-cf149d31769e4586,ami-1395d913,c4.large,arn:aws:iam::266480780430:instance-profile/8d186095,2024-12-08T07:53:00Z,1608518131,disabled,running,eu-north-1b,host,arm64,False,legacy-bios,spot,False
i-27814ab4eb254553,ami-8e74c0af,t2.micro,arn:aws:iam::266480780430:instance-profile/ce4fac04,2024-01-09T15:55:00Z,1657073611,enabled,stopped,eu-north-1a,host,x86_64,False,legacy-bios,,True
i-ca929e60ff0e467d,ami-210af3c3,m5.large,arn:aws:iam::266480780430:instance-profile/2ab6fe44,2024-01-25T21:40:00Z,1608687273,pending,terminated,eu-north-1a,dedicated,x86_64,True,uefi,,True
i-3e2091130ca946e3,ami-6c5267b7,c4.large,arn:aws:iam::266480780430:instance-profile/f82b3d16,2024-09-15T00:15:00Z,1639736261,enabled,terminated,eu-north-1a,host,arm64,False,legacy-bios,scheduled,False
i-657a4a780b084cd5,ami-efee446d,r4.large,arn:aws:iam::266480780430:instance-profile/88e45073,2024-04-02T15:56:00Z,1667207491,pending,stopped,eu-north-1a,default,arm64,True,legacy-bios,scheduled,True
i-4c12b2894e8c4418,ami-1e811db5,t2.micro,arn:aws:iam::266480780430:instance-profile/589173fa,2024-06-14T15:08:00Z,1682236153,disabling,running,eu-north-1a,host,x86_64,True,legacy-bios,scheduled,True
i-264ac1faa38049e3,ami-4d2addac,r4.large,arn:aws:iam::266480780430:instance-profile/e3d130e6,2024-03-15T09:59:00Z,1676869464,pending,running,eu-north-1a,default,arm64,True,uefi,spot,True
i-22c440cd37dd46c7,ami-31990e57,c4.large,arn:aws:iam::266480780430:instance-profile/4b4b569a,2024-04-11T20:29:00Z,1652873204,enabled,stopped,eu-north-1b,host,x86_64,True,uefi,,True
i-3b531fd7967442b1,ami-600c17bd,r4.large,arn:aws:iam::266480780430:instance-profile/2017d180,2024-05-16T01:35:00Z,1651655719,disabled,running,eu-north-1a,dedicated,x86_64,False,legacy-bios,,False
i-4225e86c7be04d77,ami-1672302f,m5.large,arn:aws:iam::266480780430:instance-profile/48d26a61,2024-04-21T21:46:00Z,1698448978,disabled,terminated,eu-north-1b,default,x86_64,False,legacy-bios,,False
i-f75c397c755a4330,ami-7b84f237,c4.large,arn:aws:iam::266480780430:instance-profile/0c423640,2024-08-23T12:13:00Z,1639642727,disabled,stopped,eu-north-1a,default,arm64,False,legacy-bios,spot,True
i-92842ace61824d71,ami-b678f09d,r4.large,arn:aws:iam::266480780430:instance-profile/73cdbc71,2024-01-10T07:07:00Z,1609665144,pending,stopped,eu-north-1b,dedicated,x86_64,False,legacy-bios,scheduled,True
i-7de0b15a636b4cdc,ami-91e0ada0,t2.micro,arn:aws:iam::266480780430:instance-profile/d2646412,2024-11-26T01:51:00Z,1641326109,pending,terminated,eu-north-1b,dedicated,arm64,True,uefi,spot,False
i-efa2aa2e9c894a89,ami-e3c65f77,t2.micro,arn:aws:iam::266480780430:instance-profile/d081ec68,2024-01-01T10:36:00Z,1642481914,disabling,terminated,eu-north-1a,host,x86_64,False,legacy-bios,,True
i-d9951c4e0608411c,ami-16126fea,t2.micro,arn:aws:iam::266480780430:instance-profile/0b6422df,2024-07-21T10:30:00Z,1686358569,disabling,terminated,eu-north-1a,dedicated,x86_64,False,uefi,spot,False
i-4f7df70bc7474220,ami-094300e1,t2.micro,arn:aws:iam::266480780430:instance-profile/e7ef7bd3,2024-03-14T13:23:00Z,1687390545,enabled,terminated,eu-north-1b,dedicated,x86_64,False,uefi,scheduled,True
i-8b203469f44f4c37,ami-f1b9ebf4,t2.micro,arn:aws:iam::266480780430:instance-profile/4cd54d9b,2024-04-02T10:55:00Z,1603169908,disabled,stopped,eu-north-1a,host,arm64,False,uefi,spot,True
i-e0b577158a7f475c,ami-59aa86f8,c4.large,arn:aws:iam::266480780430:instance-profile/9095a6d4,2024-03-16T17:34:00Z,1637110765,enabled,running,eu-north-1a,host,arm64,False,uefi,,True
i-ddb22a657d964f4d,ami-424ca69f,r4.large,arn:aws:iam::266480780430:instance-profile/7e3f7a96,2024-04-16T09:50:00Z,1689644361,disabling,running,eu-north-1a,default,x86_64,False,uefi,,True
i-d494727ca84842fc,ami-2ca36653,t2.micro,arn:aws:iam::266480780430:instance-profile/6a83be86,2024-09-06T12:10:00Z,1636302558,disabling,running,eu-north-1b,dedicated,x86_64,False,uefi,spot,True
i-27b3c63e0bc24482,ami-f8cbab06,c4.large,arn:aws:iam::266480780430:instance-profile/5a79cb72,2024-11-22T23:05:00Z,1608004066,enabled,running,eu-north-1a,dedicated,x86_64,False,legacy-bios,spot,True
i-1ae6125824064c44,ami-26e80329,r4.large,arn:aws:iam::266480780430:instance-profile/bc3bc869,2024-07-26T23:09:00Z,1674019922,enabled,terminated,eu-north-1a,host,x86_64,False,uefi,spot,False
i-b1641557c6634259,ami-5f155e9f,c4.large,arn:aws:iam::266480780430:instance-profile/b10e8b99,2024-02-13T03:26:00Z,1691164513,disabling,terminated,eu-north-1b,default,x86_64,True,uefi,spot,True
i-fcaf3971230e4659,ami-5d2a0823,r4.large,arn:aws:iam::266480780430:instance-profile/d2c23aae,2024-12-09T01:31:00Z,1677067689,disabling,terminated,eu-north-1b,host,x86_64,True,uefi,spot,True
i-3f90805c4a924486,ami-bd69fcef,m5.large,arn:aws:iam::266480780430:instance-profile/ee621135,2024-07-13T15:41:00Z,1608929102,disabling,stopped,eu-north-1b,dedicated,x86_64,False,legacy-bios,spot,False
i-8970221ee8af4cec,ami-f4e91a8c,m5.large,arn:aws:iam::266480780430:instance-profile/22253b9e,2024-01-04T01:06:00Z,1601702649,disabling,stopped,eu-north-1b,default,arm64,False,legacy-bios,scheduled,True
i-be29c98850e64d5b,ami-c2270f0d,m5.large,arn:aws:iam::266480780430:instance-profile/7e3cee6e,2024-05-10T07:57:00Z,1634448245,pending,running,eu-north-1b,dedicated,arm64,True,legacy-bios,,True
i-5ede698b784a42d4,ami-b6ddeda7,m5.large,arn:aws:iam::266480780430:instance-profile/2e480061,2024-12-26T17:59:00Z,1651549744,pending,terminated,eu-north-1b,host,x86_64,True,legacy-bios,spot,False
i-ae386d8ab2c24488,ami-8c341346,m5.large,arn:aws:iam::266480780430:instance-profile/ea000c6c,2024-07-15T10:46:00Z,1656299039,enabled,terminated,eu-north-1b,host,x86_64,False,uefi,spot,False
i-09bf2a0c8f3742e9,ami-8d721e2d,r4.large,arn:aws:iam::266480780430:instance-profile/1333cef0,2024-01-02T11:40:00Z,1663229833,disabled,running,eu-north-1b,host,arm64,False,legacy-bios,scheduled,True
i-b2f9a0eb69174615,ami-c752467e,r4.large,arn:aws:iam::266480780430:instance-profile/ad91dee2,2024-06-06T21:13:00Z,1695682908,disabled,terminated,eu-north-1a,host,x86_64,False,legacy-bios,,True
i-0214906c3ed746dd,ami-7198c65f,c4.large,arn:aws:iam::266480780430:instance-profile/e5fc349b,2024-10-15T00:35:00Z,1603420845,enabled,running,eu-north-1b,dedicated,arm64,True,uefi,scheduled,True
i-d358a28e3f18434d,ami-50dc1518,t2.micro,arn:aws:iam::266480780430:instance-profile/ca27df52,2024-07-19T14:28:00Z,1673589641,enabled,terminated,eu-north-1a,host,x86_64,True,legacy-bios,spot,False
i-8d7885dc3983407a,ami-9db76f90,c4.large,arn:aws:iam::266480780430:instance-profile/5fcc1943,2024-08-10T15:07:00Z,1677701396,disabled,stopped,eu-north-1b,default,x86_64,True,uefi,,True
i-c01363baab3d48eb,ami-c3525f8e,c4.large,arn:aws:iam::266480780430:instance-profile/2e0f7aff,2024-04-23T03:04:00Z,1626525906,disabling,running,eu-north-1a,host,x86_64,True,legacy-bios,,False
i-e7026388c72d4925,ami-bd6327b7,m5.large,arn:aws:iam::266480780430:instance-profile/cd747997,2024-04-19T03:36:00Z,1669583313,enabled,running,eu-north-1a,dedicated,arm64,False,legacy-bios,,False
i-b792133fbf394f63,ami-a14243d9,c4.large,arn:aws:iam::266480780430:instance-profile/cf693762,2024-01-10T11:10:00Z,1623595374,pending,running,eu-north-1a,default,x86_64,True,uefi,,False
i-6d21fba4b75c4df5,ami-ba65f805,c4.large,arn:aws:iam::266480780430:instance-profile/7978ecec,2024-09-24T22:54:00Z,1630227354,enabled,running,eu-north-1a,default,arm64,True,legacy-bios,,True
i-b7cb1d1acd1e422d,ami-72717ea6,m5.large,arn:aws:iam::266480780430:instance-profile/961e79f8,2024-01-26T15:46:00Z,1669272794,pending,stopped,eu-north-1a,default,x86_64,True,uefi,,True
i-cf86869884144452,ami-9bb58578,r4.large,arn:aws:iam::266480780430:instance-profile/1a4e8382,2024-11-25T17:24:00Z,1674844033,pending,stopped,eu-north-1b,dedicated,x86_64,True,uefi,scheduled,True
i-e6381d6158ae40ee,ami-a40b60c7,c4.large,arn:aws:iam::266480780430:instance-profile/e3d312b6,2024-01-18T15:49:00Z,1638905956,pending,terminated,eu-north-1b,default,x86_64,False,legacy-bios,scheduled,False
i-7c5b1e0524aa40c7,ami-06e4c6e4,c4.large,arn:aws:iam::266480780430:instance-profile/3b84b618,2024-05-11T19:59:00Z,1607792604,disabling,running,eu-north-1a,default,arm64,True,uefi,scheduled,True
i-48d5782b04be4db5,ami-bd4b9962,r4.large,arn:aws:iam::266480780430:instance-profile/a601fe6d,2024-12-17T01:13:00Z,1680041147,enabled,running,eu-north-1a,host,x86_64,True,legacy-bios,scheduled,True
i-c1dc52bb88fd4042,ami-65aad85b,c4.large,arn:aws:iam::266480780430:instance-profile/66404152,2024-02-17T16:19:00Z,1619319521,pending,terminated,eu-north-1a,dedicated,x86_64,False,uefi,spot,True
