ip_address,ip_type,geolocation_country,geolocation_region,geolocation_city,asn,as_org,is_known_malicious,threat_category,first_seen,last_seen,reputation_score
196.31.254.28,public,FR,Region-9,City-78,41359,Hetzner,False,,2025-05-16T19:56:00Z,2025-02-08T10:14:00Z,94
182.201.219.4,public,DE,Region-4,City-53,58869,Google,False,,2025-04-02T11:41:00Z,2025-05-05T09:40:00Z,80
204.25.27.221,public,FR,Region-4,City-96,19427,Linode,False,,2025-01-11T05:31:00Z,2025-02-25T04:35:00Z,80
181.209.56.220,public,FR,Region-9,City-1,6280,Google,False,,2025-05-26T15:59:00Z,2025-02-25T04:42:00Z,74
73.47.134.168,public,FR,Region-10,City-61,64014,Google,True,phishing,2025-03-25T10:16:00Z,2025-03-23T09:00:00Z,24
154.189.250.176,public,FR,Region-10,City-80,15660,Cloudflare,False,,2025-02-03T11:00:00Z,2025-03-23T20:14:00Z,95
16.53.67.232,public,BR,Region-4,City-32,5945,Digital Ocean,False,,2025-06-25T03:38:00Z,2025-01-27T06:13:00Z,87
185.74.57.181,public,GB,Region-5,City-41,62015,Linode,False,,2025-03-01T13:08:00Z,2025-04-21T04:53:00Z,73
129.167.232.103,public,DE,Region-1,City-100,14441,Microsoft,False,,2025-01-14T12:10:00Z,2025-04-22T07:33:00Z,70
129.234.132.241,public,IN,Region-10,City-28,46770,Digital Ocean,False,,2025-01-02T02:15:00Z,2025-04-11T19:32:00Z,96
211.220.23.121,public,CN,Region-2,City-89,26919,Cloudflare,False,,2025-05-01T23:23:00Z,2025-01-28T05:21:00Z,90
154.60.230.233,public,US,Region-8,City-100,61754,Amazon.com,False,,2025-04-20T09:34:00Z,2025-04-22T18:40:00Z,77
15.41.236.62,public,RU,Region-9,City-93,68737,Microsoft,False,,2025-05-07T12:57:00Z,2025-06-24T00:22:00Z,77
13.89.251.121,public,DE,Region-1,City-77,46338,Digital Ocean,False,,2025-03-02T08:38:00Z,2025-04-17T02:38:00Z,82
74.45.129.253,public,BR,Region-7,City-39,28322,Linode,True,tor_exit,2025-02-19T20:51:00Z,2025-06-20T10:24:00Z,26
101.211.243.220,public,DE,Region-5,City-69,16161,Amazon.com,False,,2025-05-21T07:31:00Z,2025-05-12T03:44:00Z,71
148.146.146.226,public,DE,Region-3,City-13,50856,Linode,False,,2025-04-25T05:53:00Z,2025-01-21T04:38:00Z,76
194.25.250.135,public,GB,Region-2,City-14,35202,Hetzner,False,,2025-01-17T16:39:00Z,2025-04-24T22:16:00Z,91
32.155.143.86,public,CA,Region-4,City-51,60985,Linode,False,,2025-04-17T07:41:00Z,2025-04-26T15:11:00Z,94
197.198.79.242,public,RU,Region-2,City-9,42199,Digital Ocean,False,,2025-02-16T11:19:00Z,2025-03-28T02:01:00Z,88
214.79.249.224,public,CN,Region-1,City-41,10130,Akamai,False,,2025-03-23T15:49:00Z,2025-02-28T07:03:00Z,95
41.129.255.39,public,BR,Region-5,City-65,9709,Microsoft,False,,2025-01-15T14:15:00Z,2025-01-21T14:58:00Z,95
191.188.152.176,public,FR,Region-10,City-47,13458,Akamai,False,,2025-01-12T15:30:00Z,2025-01-26T06:39:00Z,80
32.205.140.33,public,JP,Region-9,City-7,43690,Cloudflare,False,,2025-06-18T13:36:00Z,2025-06-08T00:19:00Z,90
122.180.235.200,public,US,Region-6,City-75,10541,Microsoft,False,,2025-04-18T21:26:00Z,2025-01-12T15:37:00Z,86
112.234.33.145,public,BR,Region-3,City-75,31308,Amazon.com,False,,2025-05-20T05:34:00Z,2025-02-09T22:11:00Z,86
98.113.147.251,public,US,Region-4,City-53,20987,Amazon.com,False,,2025-06-10T03:46:00Z,2025-02-09T08:00:00Z,75
217.245.176.179,public,GB,Region-4,City-65,34281,Amazon.com,False,,2025-03-15T02:34:00Z,2025-02-28T05:02:00Z,76
215.106.69.179,public,IN,Region-5,City-50,48919,Amazon.com,False,,2025-05-16T13:58:00Z,2025-01-05T08:58:00Z,70
118.112.33.71,public,DE,Region-10,City-80,61928,Microsoft,False,,2025-02-10T16:12:00Z,2025-04-16T16:15:00Z,75
54.170.202.87,public,RU,Region-6,City-53,57954,Linode,False,,2025-06-18T19:35:00Z,2025-03-18T21:33:00Z,75
19.108.139.17,public,GB,Region-7,City-86,44489,Google,False,,2025-03-22T01:41:00Z,2025-01-17T06:15:00Z,85
176.125.251.34,public,US,Region-1,City-50,20455,Cloudflare,False,,2025-01-18T08:24:00Z,2025-04-24T05:15:00Z,88
168.151.78.10,public,BR,Region-9,City-47,14216,Google,False,,2025-01-06T00:29:00Z,2025-06-07T01:00:00Z,76
94.200.73.154,public,IN,Region-7,City-80,56524,Linode,False,,2025-05-23T18:04:00Z,2025-06-27T01:29:00Z,99
197.236.23.194,public,JP,Region-5,City-36,64443,Akamai,False,,2025-05-06T04:04:00Z,2025-04-12T10:56:00Z,85
182.119.25.228,public,RU,Region-2,City-15,12492,Cloudflare,False,,2025-06-08T05:46:00Z,2025-03-19T23:34:00Z,76
211.195.83.222,public,RU,Region-7,City-64,60548,Akamai,True,botnet,2025-06-19T10:50:00Z,2025-02-10T06:51:00Z,21
8.131.83.40,public,BR,Region-7,City-7,23487,Amazon.com,False,,2025-03-14T08:54:00Z,2025-06-18T09:11:00Z,80
68.154.115.95,public,CA,Region-8,City-14,43714,Microsoft,False,,2025-04-16T08:37:00Z,2025-04-12T00:07:00Z,84
110.151.101.61,public,US,Region-4,City-22,45102,Linode,False,,2025-05-20T10:43:00Z,2025-02-18T06:43:00Z,91
190.60.54.102,public,CA,Region-8,City-72,14205,Digital Ocean,False,,2025-04-10T00:27:00Z,2025-01-03T13:20:00Z,82
124.217.244.253,public,DE,Region-4,City-93,11056,Linode,False,,2025-06-21T12:30:00Z,2025-05-16T15:35:00Z,70
23.91.251.6,public,CN,Region-7,City-63,7275,Digital Ocean,False,,2025-05-03T23:11:00Z,2025-03-07T16:29:00Z,87
102.69.172.213,public,RU,Region-6,City-62,8594,Akamai,False,,2025-04-16T17:22:00Z,2025-02-06T09:00:00Z,73
132.236.150.235,public,RU,Region-4,City-98,30535,Cloudflare,False,,2025-03-10T02:17:00Z,2025-05-16T09:49:00Z,82
33.162.218.156,public,IN,Region-5,City-40,28390,Akamai,False,,2025-05-06T21:59:00Z,2025-01-22T16:47:00Z,78
75.72.45.70,public,JP,Region-4,City-69,56763,Microsoft,False,,2025-03-24T10:10:00Z,2025-04-04T05:01:00Z,73
157.107.38.26,public,CA,Region-1,City-1,9376,Google,False,,2025-03-19T04:44:00Z,2025-06-01T04:14:00Z,80
159.96.158.4,public,IN,Region-6,City-54,8696,Cloudflare,True,tor_exit,2025-06-05T12:26:00Z,2025-01-01T04:55:00Z,24
39.248.47.202,public,CA,Region-9,City-12,18033,Digital Ocean,False,,2025-03-19T00:55:00Z,2025-06-24T23:06:00Z,77
14.172.130.105,public,GB,Region-9,City-71,8215,Cloudflare,False,,2025-05-06T12:35:00Z,2025-01-17T07:21:00Z,78
27.120.248.63,public,FR,Region-9,City-84,4696,Digital Ocean,False,,2025-01-28T19:33:00Z,2025-01-17T08:11:00Z,96
46.241.51.133,public,CA,Region-2,City-55,1628,Cloudflare,True,suspicious,2025-06-27T08:46:00Z,2025-02-27T19:35:00Z,14
136.7.194.212,public,GB,Region-4,City-11,48420,Cloudflare,False,,2025-04-27T23:25:00Z,2025-04-16T10:15:00Z,90
144.88.164.175,public,RU,Region-3,City-4,7768,Microsoft,False,,2025-06-10T19:42:00Z,2025-03-25T05:57:00Z,92
211.119.250.138,public,DE,Region-10,City-42,39623,Microsoft,False,,2025-04-16T00:18:00Z,2025-05-18T06:50:00Z,98
140.41.74.215,public,US,Region-10,City-23,13530,Google,False,,2025-03-22T02:48:00Z,2025-04-25T17:56:00Z,96
102.238.64.106,public,FR,Region-4,City-37,42399,Digital Ocean,False,,2025-04-12T19:05:00Z,2025-02-28T16:28:00Z,100
114.168.208.169,public,FR,Region-9,City-36,8657,Akamai,False,,2025-01-22T11:16:00Z,2025-04-07T10:02:00Z,80
4.104.191.87,public,CN,Region-9,City-8,61818,Microsoft,False,,2025-05-10T17:43:00Z,2025-03-05T18:30:00Z,90
52.132.123.218,public,BR,Region-8,City-45,12711,Cloudflare,False,,2025-01-07T02:42:00Z,2025-04-12T14:09:00Z,87
30.140.73.200,public,DE,Region-7,City-57,2503,Hetzner,False,,2025-05-24T05:58:00Z,2025-04-20T03:55:00Z,71
173.39.243.252,public,IN,Region-6,City-51,43865,Akamai,False,,2025-01-05T11:19:00Z,2025-03-26T03:38:00Z,81
169.131.132.129,public,JP,Region-4,City-92,46040,Linode,False,,2025-05-17T13:25:00Z,2025-04-25T11:12:00Z,98
33.48.236.89,public,CA,Region-4,City-30,20544,Digital Ocean,False,,2025-01-20T05:11:00Z,2025-06-26T07:08:00Z,93
24.169.197.63,public,FR,Region-1,City-28,16467,Hetzner,False,,2025-02-14T09:44:00Z,2025-06-13T16:28:00Z,86
110.18.83.48,public,FR,Region-3,City-98,29179,Linode,False,,2025-04-19T23:15:00Z,2025-01-01T01:23:00Z,78
146.230.181.204,public,CN,Region-5,City-44,66997,Digital Ocean,False,,2025-04-20T23:39:00Z,2025-05-12T23:12:00Z,77
92.47.138.235,public,CN,Region-7,City-72,53748,Hetzner,True,scanner,2025-05-08T07:18:00Z,2025-05-01T04:07:00Z,21
135.121.89.101,public,IN,Region-2,City-30,18605,Digital Ocean,False,,2025-06-16T03:39:00Z,2025-01-11T03:41:00Z,81
94.79.29.223,public,US,Region-10,City-85,54932,Linode,False,,2025-03-06T21:38:00Z,2025-04-28T18:45:00Z,91
31.35.49.213,public,RU,Region-10,City-80,16449,Cloudflare,False,,2025-06-27T21:05:00Z,2025-04-26T00:28:00Z,89
205.126.154.106,public,RU,Region-9,City-42,27440,Cloudflare,False,,2025-06-09T07:11:00Z,2025-02-03T07:39:00Z,77
33.219.81.40,public,DE,Region-9,City-61,52770,Microsoft,False,,2025-02-04T04:45:00Z,2025-04-11T13:14:00Z,77
75.241.9.20,public,CN,Region-4,City-53,15839,Digital Ocean,False,,2025-01-06T05:13:00Z,2025-02-02T07:09:00Z,76
209.190.157.224,public,DE,Region-7,City-5,19924,Akamai,True,botnet,2025-02-18T03:56:00Z,2025-02-04T10:20:00Z,23
41.70.206.71,public,GB,Region-9,City-98,10770,Cloudflare,False,,2025-03-25T07:58:00Z,2025-02-27T00:53:00Z,80
38.36.86.176,public,RU,Region-10,City-50,22544,Akamai,False,,2025-01-02T17:16:00Z,2025-03-09T02:49:00Z,76
162.41.4.227,public,BR,Region-8,City-24,60012,Google,False,,2025-03-20T11:52:00Z,2025-06-19T11:47:00Z,71
220.196.223.41,public,GB,Region-3,City-29,65472,Google,False,,2025-03-16T18:39:00Z,2025-05-19T14:55:00Z,88
203.85.97.78,public,BR,Region-1,City-47,4839,Amazon.com,False,,2025-02-17T05:21:00Z,2025-05-27T16:22:00Z,81
176.185.71.15,public,FR,Region-1,City-21,46023,Google,False,,2025-01-24T21:54:00Z,2025-06-11T16:52:00Z,97
97.228.82.154,public,RU,Region-2,City-92,42197,Akamai,False,,2025-03-05T02:35:00Z,2025-06-21T16:01:00Z,93
13.202.144.73,public,DE,Region-5,City-70,22922,Akamai,True,scanner,2025-01-08T21:31:00Z,2025-06-15T00:43:00Z,11
165.87.118.85,public,RU,Region-10,City-100,46897,Digital Ocean,False,,2025-03-14T05:24:00Z,2025-05-25T07:13:00Z,71
24.80.178.48,public,FR,Region-2,City-67,15408,Google,False,,2025-02-17T03:21:00Z,2025-03-01T01:29:00Z,74
7.125.255.48,public,GB,Region-3,City-66,34666,Cloudflare,False,,2025-04-10T09:25:00Z,2025-01-11T08:34:00Z,94
219.216.61.145,public,CA,Region-10,City-10,11287,Akamai,True,tor_exit,2025-01-23T15:09:00Z,2025-02-03T09:28:00Z,25
114.8.207.104,public,FR,Region-4,City-15,17063,Microsoft,False,,2025-03-26T09:14:00Z,2025-04-01T23:09:00Z,95
123.1.188.103,public,JP,Region-8,City-27,24433,Digital Ocean,False,,2025-02-05T06:54:00Z,2025-05-07T03:24:00Z,70
188.242.174.34,public,CN,Region-8,City-55,23823,Linode,False,,2025-05-03T00:21:00Z,2025-05-14T05:10:00Z,81
115.5.209.199,public,JP,Region-2,City-56,45160,Cloudflare,False,,2025-01-20T23:10:00Z,2025-03-08T05:34:00Z,79
4.247.213.91,public,DE,Region-4,City-41,65356,Microsoft,False,,2025-01-14T10:32:00Z,2025-01-10T01:32:00Z,87
147.93.215.205,public,JP,Region-6,City-80,64638,Cloudflare,False,,2025-02-26T02:08:00Z,2025-04-02T13:23:00Z,78
28.249.202.87,public,GB,Region-5,City-63,43818,Linode,False,,2025-05-08T16:21:00Z,2025-02-04T18:53:00Z,80
134.73.66.73,public,CN,Region-6,City-4,17238,Google,True,botnet,2025-02-09T20:56:00Z,2025-01-16T03:10:00Z,28
125.214.36.228,public,BR,Region-5,City-70,57615,Digital Ocean,False,,2025-06-28T18:26:00Z,2025-01-09T05:01:00Z,90
124.6.248.218,public,CN,Region-7,City-8,69374,Digital Ocean,False,,2025-05-10T09:32:00Z,2025-06-02T20:44:00Z,98
125.100.180.49,public,BR,Region-10,City-44,66592,Amazon.com,False,,2025-06-11T09:08:00Z,2025-03-27T07:06:00Z,81
140.7.153.248,public,RU,Region-1,City-13,5890,Linode,False,,2025-04-03T14:03:00Z,2025-06-17T23:55:00Z,92
106.206.174.53,public,US,Region-2,City-49,46234,Hetzner,False,,2025-01-19T00:21:00Z,2025-03-12T16:00:00Z,85
105.74.48.131,public,IN,Region-6,City-95,17119,Linode,False,,2025-04-04T23:01:00Z,2025-03-07T06:04:00Z,72
66.248.40.223,public,RU,Region-5,City-18,42279,Digital Ocean,False,,2025-05-11T11:38:00Z,2025-06-22T15:45:00Z,74
73.40.159.74,public,FR,Region-10,City-8,23112,Microsoft,True,botnet,2025-02-07T13:27:00Z,2025-06-14T00:43:00Z,25
198.191.237.35,public,CA,Region-7,City-54,4471,Microsoft,False,,2025-06-05T01:03:00Z,2025-01-03T09:17:00Z,73
111.200.219.238,public,CA,Region-5,City-72,65718,Cloudflare,False,,2025-03-16T13:44:00Z,2025-02-14T06:23:00Z,76
114.121.70.248,public,JP,Region-1,City-86,13964,Amazon.com,False,,2025-06-26T13:22:00Z,2025-04-28T23:38:00Z,72
66.85.204.193,public,CN,Region-5,City-23,59545,Hetzner,True,tor_exit,2025-02-22T11:33:00Z,2025-04-24T00:16:00Z,14
34.69.199.150,public,DE,Region-8,City-85,50295,Microsoft,False,,2025-04-04T03:32:00Z,2025-06-25T08:57:00Z,88
45.231.129.28,public,DE,Region-7,City-47,14835,Akamai,False,,2025-06-24T03:35:00Z,2025-05-23T01:09:00Z,77
1.37.220.225,public,IN,Region-4,City-88,9920,Akamai,False,,2025-05-07T15:42:00Z,2025-03-16T02:41:00Z,83
80.197.122.141,public,US,Region-4,City-44,67859,Hetzner,False,,2025-01-24T23:58:00Z,2025-02-07T21:55:00Z,82
150.130.218.196,public,FR,Region-6,City-34,17271,Google,False,,2025-04-01T10:37:00Z,2025-06-16T01:52:00Z,89
160.87.126.232,public,CN,Region-9,City-62,7209,Google,False,,2025-05-12T08:40:00Z,2025-03-11T12:47:00Z,75
57.24.66.14,public,DE,Region-8,City-97,12574,Digital Ocean,False,,2025-03-11T22:40:00Z,2025-06-10T18:32:00Z,70
206.157.131.186,public,DE,Region-8,City-74,5603,Google,False,,2025-01-26T05:28:00Z,2025-06-26T04:23:00Z,95
65.117.18.80,public,CN,Region-3,City-67,38584,Google,False,,2025-04-27T19:57:00Z,2025-04-08T08:09:00Z,79
139.31.77.106,public,RU,Region-7,City-46,48183,Linode,False,,2025-01-15T18:15:00Z,2025-01-04T03:55:00Z,88
46.254.76.196,public,US,Region-8,City-18,30737,Digital Ocean,False,,2025-02-28T06:43:00Z,2025-02-08T09:08:00Z,75
24.222.199.112,public,BR,Region-1,City-25,15472,Microsoft,False,,2025-06-28T21:28:00Z,2025-03-22T03:34:00Z,91
148.2.14.37,public,JP,Region-10,City-23,49321,Digital Ocean,False,,2025-05-19T01:26:00Z,2025-05-02T17:18:00Z,78
74.42.110.64,public,DE,Region-8,City-18,31740,Linode,True,malware_c2,2025-03-03T23:43:00Z,2025-04-20T22:49:00Z,22
19.222.183.230,public,IN,Region-6,City-13,49523,Microsoft,False,,2025-03-15T22:19:00Z,2025-01-01T18:09:00Z,99
208.208.40.116,public,DE,Region-9,City-18,1915,Google,False,,2025-03-23T05:09:00Z,2025-05-18T05:24:00Z,93
197.236.91.40,public,US,Region-3,City-63,57219,Hetzner,False,,2025-02-09T20:02:00Z,2025-01-25T05:13:00Z,81
34.195.110.190,public,GB,Region-4,City-45,61944,Akamai,False,,2025-05-08T10:55:00Z,2025-03-16T02:29:00Z,84
145.92.80.146,public,DE,Region-5,City-8,67256,Hetzner,False,,2025-02-12T12:44:00Z,2025-04-11T04:42:00Z,95
149.52.198.251,public,DE,Region-4,City-59,43884,Cloudflare,False,,2025-03-03T22:13:00Z,2025-04-20T09:59:00Z,95
169.156.230.102,public,GB,Region-9,City-84,15739,Google,False,,2025-04-02T03:47:00Z,2025-02-10T17:35:00Z,75
64.25.151.136,public,CA,Region-5,City-95,50223,Linode,False,,2025-05-19T13:16:00Z,2025-03-07T02:45:00Z,96
213.243.190.63,public,JP,Region-7,City-15,67446,Hetzner,False,,2025-02-13T14:28:00Z,2025-01-06T08:29:00Z,71
16.206.122.194,public,US,Region-2,City-62,19971,Cloudflare,True,suspicious,2025-02-09T08:44:00Z,2025-03-23T13:26:00Z,24
219.183.40.99,public,CA,Region-1,City-24,52096,Akamai,False,,2025-03-22T09:51:00Z,2025-04-09T03:30:00Z,71
218.186.239.93,public,JP,Region-6,City-95,4375,Microsoft,False,,2025-06-20T04:57:00Z,2025-02-23T17:33:00Z,90
192.109.206.183,public,BR,Region-6,City-7,65298,Akamai,False,,2025-02-12T01:14:00Z,2025-04-02T14:43:00Z,90
70.53.34.98,public,FR,Region-7,City-17,48608,Amazon.com,False,,2025-04-19T14:50:00Z,2025-04-28T07:14:00Z,77
154.192.195.200,public,RU,Region-6,City-39,8014,Microsoft,False,,2025-05-10T14:38:00Z,2025-06-10T03:16:00Z,91
215.203.47.134,public,IN,Region-9,City-97,26939,Hetzner,True,suspicious,2025-02-16T22:04:00Z,2025-06-22T02:24:00Z,23
193.116.37.45,public,CA,Region-3,City-33,24976,Google,False,,2025-01-17T01:16:00Z,2025-04-27T13:35:00Z,91
28.203.104.142,public,JP,Region-1,City-96,11059,Amazon.com,False,,2025-01-18T12:40:00Z,2025-06-22T14:42:00Z,77
159.8.89.234,public,GB,Region-4,City-60,8592,Google,False,,2025-02-09T21:21:00Z,2025-06-15T19:52:00Z,91
214.52.209.116,public,CA,Region-10,City-7,5951,Google,False,,2025-04-11T21:34:00Z,2025-02-16T13:26:00Z,83
52.18.52.124,public,JP,Region-9,City-19,13034,Linode,False,,2025-04-21T18:32:00Z,2025-02-17T00:26:00Z,77
114.44.51.77,public,US,Region-4,City-14,7324,Akamai,False,,2025-02-26T05:12:00Z,2025-03-10T05:24:00Z,70
173.57.131.92,public,DE,Region-1,City-15,38060,Hetzner,False,,2025-01-07T14:12:00Z,2025-04-07T22:59:00Z,72
9.46.169.226,public,FR,Region-8,City-79,23576,Akamai,True,scanner,2025-05-12T02:45:00Z,2025-03-25T19:08:00Z,30
51.177.44.95,public,CN,Region-2,City-14,4450,Google,False,,2025-05-07T23:19:00Z,2025-02-17T19:20:00Z,91
124.9.5.198,public,FR,Region-10,City-8,22005,Digital Ocean,False,,2025-01-24T04:16:00Z,2025-05-27T23:58:00Z,91
134.137.254.25,public,DE,Region-6,City-54,46214,Microsoft,False,,2025-01-05T09:06:00Z,2025-02-07T00:30:00Z,85
169.198.164.154,public,US,Region-3,City-6,63338,Microsoft,False,,2025-05-21T20:47:00Z,2025-03-26T08:20:00Z,99
53.204.240.75,public,JP,Region-7,City-56,37879,Microsoft,False,,2025-04-27T15:57:00Z,2025-01-13T08:14:00Z,85
168.244.222.164,public,JP,Region-4,City-6,27447,Microsoft,True,scanner,2025-05-15T23:15:00Z,2025-03-15T20:41:00Z,15
26.38.96.235,public,US,Region-7,City-99,5406,Linode,False,,2025-03-20T23:37:00Z,2025-01-11T03:05:00Z,89
