vm_instance_id,network_interface_id,role_id,name
125,125,6,vm-prod-platform-svc-125
126,126,6,vm-prod-platform-db-126
127,127,6,vm-prod-platform-svc-127
128,128,5,vm-prod-platform-mon-128
129,129,5,vm-prod-platform-mon-129
130,130,5,vm-prod-platform-mon-130
131,131,5,vm-prod-platform-mon-131
132,132,6,vm-prod-platform-db-132
133,133,6,vm-prod-platform-svc-133
134,134,6,vm-prod-platform-svc-134
135,135,5,vm-prod-platform-mon-135
136,136,5,vm-prod-platform-mon-136
137,137,6,vm-prod-platform-svc-137
138,138,6,vm-prod-platform-db-138
139,139,5,vm-prod-platform-mon-139
140,140,5,vm-prod-platform-mon-140
141,141,6,vm-prod-platform-db-141
142,142,6,vm-prod-platform-db-142
143,143,5,vm-prod-platform-svc-143
144,144,5,vm-prod-platform-svc-144
145,145,6,vm-prod-platform-db-145
146,146,5,vm-prod-platform-app-146
147,147,6,vm-prod-platform-db-147
148,148,6,vm-prod-platform-db-148
149,149,6,vm-prod-platform-db-149
150,150,5,vm-prod-platform-svc-150
151,151,8,vm-staging-billing-api-001
152,152,8,vm-staging-billing-web-152
153,153,9,vm-staging-billing-web-153
154,154,9,vm-staging-billing-db-154
155,155,9,vm-staging-billing-db-155
156,156,8,vm-staging-billing-app-156
157,157,8,vm-staging-billing-mon-157
158,158,9,vm-staging-billing-app-158
159,159,9,vm-staging-billing-db-159
160,160,9,vm-staging-billing-db-160
161,161,8,vm-staging-billing-svc-161
162,162,9,vm-staging-billing-svc-162
163,163,8,vm-staging-billing-svc-163
164,164,8,vm-staging-billing-svc-164
165,165,8,vm-staging-billing-mon-165
166,166,9,vm-staging-billing-svc-166
167,167,9,vm-staging-billing-db-167
168,168,9,vm-staging-billing-svc-168
169,169,8,vm-staging-billing-mon-169
170,170,9,vm-staging-billing-svc-170
171,171,9,vm-staging-billing-svc-171
172,172,9,vm-staging-billing-svc-172
173,173,9,vm-staging-billing-db-173
174,174,8,vm-staging-billing-svc-174
175,175,8,vm-staging-billing-svc-175
176,176,8,vm-staging-billing-svc-176
177,177,8,vm-staging-billing-mon-177
178,178,9,vm-staging-billing-app-178
179,179,9,vm-staging-billing-db-179
180,180,9,vm-staging-billing-app-180
181,181,6,vm-dev-sandbox-app-181
182,182,5,vm-dev-sandbox-web-182
183,183,5,vm-dev-sandbox-web-183
184,184,6,vm-dev-sandbox-web-184
185,185,5,vm-dev-sandbox-mon-185
186,186,6,vm-dev-sandbox-db-186
187,187,5,vm-dev-sandbox-app-187
188,188,6,vm-dev-sandbox-svc-188
189,189,6,vm-dev-sandbox-db-189
190,190,6,vm-dev-sandbox-app-190
191,191,5,vm-dev-sandbox-svc-191
192,192,5,vm-dev-sandbox-mon-192
193,193,6,vm-dev-sandbox-svc-193
194,194,5,vm-dev-sandbox-mon-194
195,195,6,vm-dev-sandbox-svc-195
196,196,5,vm-dev-sandbox-svc-196
197,197,5,vm-dev-sandbox-mon-197
198,198,5,vm-dev-sandbox-app-198
199,199,6,vm-dev-sandbox-db-199
200,200,5,vm-dev-sandbox-mon-200
