user_id,role_id,granted_at
56,4,2025-01-26 04:50:51
56,8,2024-11-16 13:22:57
56,12,2025-01-27 03:15:08
57,11,2024-05-26 02:29:26
58,1,2025-09-16 23:39:59
59,6,2024-08-06 22:52:03
60,7,2025-03-29 07:54:34
60,10,2024-03-29 03:39:28
61,2,2025-08-26 13:58:55
62,7,2024-11-18 05:05:27
63,11,2024-03-27 09:02:07
64,10,2025-09-14 10:22:25
65,1,2024-07-29 18:51:02
65,12,2025-11-05 10:58:57
66,4,2025-02-05 10:45:37
67,13,2024-09-02 18:01:05
68,4,2025-05-26 23:13:54
69,9,2024-01-13 13:08:49
70,3,2025-03-06 13:18:15
70,7,2025-07-13 06:17:25
70,10,2025-04-27 02:39:27
71,2,2024-01-15 09:32:45
72,1,2025-02-11 18:26:42
73,12,2025-05-28 15:07:31
74,7,2024-03-25 23:19:16
75,10,2024-06-05 10:06:08
76,2,2025-06-07 07:23:53
77,6,2025-11-28 23:24:59
77,7,2024-03-08 11:17:34
77,9,2025-10-11 23:39:35
77,10,2025-03-23 08:41:18
78,2,2025-03-20 04:13:22
79,10,2024-02-26 11:15:39
80,11,2024-06-28 04:20:55
80,12,2024-01-13 04:59:44
81,3,2024-12-21 19:02:31
81,8,2025-06-13 09:26:20
82,3,2024-10-02 04:17:53
83,1,2025-03-15 09:54:09
83,6,2025-06-20 02:19:31
84,10,2025-10-04 02:48:21
85,9,2025-01-03 02:01:06
86,10,2024-06-19 13:23:13
87,13,2024-04-15 20:53:43
88,2,2025-06-05 00:05:36
88,4,2024-02-15 00:26:50
89,8,2025-01-07 13:56:37
90,1,2024-08-17 11:42:59
90,3,2025-11-02 15:16:07
90,9,2024-09-11 15:09:19
91,2,2025-11-20 01:55:03
91,5,2024-05-02 18:16:43
91,6,2025-08-08 13:34:24
92,13,2025-06-12 01:40:19
93,2,2024-11-14 11:54:59
93,5,2025-04-12 00:17:24
93,8,2024-03-29 20:08:14
94,5,2025-07-31 11:03:54
95,4,2025-01-12 21:32:34
95,8,2025-05-20 07:06:54
96,9,2024-09-08 05:28:55
96,13,2024-01-07 14:55:44
97,9,2024-12-20 23:09:14
98,1,2024-01-02 23:55:54
98,6,2025-01-20 11:11:46
99,9,2024-08-31 15:17:06
100,1,2024-05-25 10:11:17
101,4,2025-06-16 15:02:20
102,6,2024-03-27 21:08:42
102,8,2024-04-07 18:24:07
103,14,2025-02-07 02:43:28
104,1,2025-03-21 04:45:32
105,5,2024-11-18 14:18:25
106,6,2024-10-05 08:30:19
106,12,2024-11-21 16:29:03
107,4,2024-05-19 21:17:18
108,2,2024-06-17 16:22:05
109,7,2024-05-03 19:30:44
110,13,2024-07-31 16:27:13
111,5,2024-05-02 03:17:31
112,11,2024-11-07 21:57:56
113,14,2024-12-01 05:24:01
114,4,2024-12-30 14:25:36
115,11,2024-11-02 09:28:20
116,1,2025-07-23 20:01:45
116,3,2025-02-18 16:27:50
117,8,2024-04-14 05:05:22
118,1,2024-08-15 04:45:33
119,7,2025-01-16 22:56:54
120,2,2024-09-22 02:43:48
120,10,2024-01-23 02:20:50
120,13,2024-07-21 23:31:10
121,3,2024-04-04 12:04:16
122,8,2024-02-21 06:06:58
123,7,2025-05-23 01:04:24
123,12,2025-01-26 15:32:03
123,14,2024-06-25 12:53:12
124,3,2024-10-08 10:11:21
125,3,2024-02-05 22:21:32
126,4,2025-10-24 10:44:40
127,9,2025-05-05 02:13:12
128,7,2024-05-20 15:15:49
129,13,2025-06-22 09:04:16
130,13,2025-07-10 00:42:39
131,6,2024-11-22 21:44:25
131,8,2025-05-29 11:42:33
131,9,2025-02-01 09:50:46
131,10,2024-08-12 01:04:00
131,14,2024-07-03 00:56:56
132,5,2025-06-26 13:00:49
132,13,2024-02-29 17:10:24
133,3,2025-11-03 08:46:48
133,4,2024-04-12 09:01:27
134,14,2024-02-27 07:59:18
135,13,2025-02-01 12:55:04
136,3,2024-11-21 13:03:46
136,13,2025-08-28 01:01:37
136,14,2024-08-30 21:34:22
137,6,2025-07-31 05:10:25
137,10,2025-07-30 06:51:12
138,8,2024-06-28 17:51:22
138,13,2025-07-09 11:15:08
139,1,2024-08-26 21:54:21
140,9,2025-05-04 00:01:29
141,10,2024-07-25 04:45:03
142,3,2024-11-27 02:10:06
143,10,2024-05-25 04:02:18
144,6,2025-11-09 14:24:11
144,14,2024-03-15 13:36:07
145,6,2024-11-05 11:44:44
146,3,2025-03-23 23:16:29
147,3,2025-11-12 21:26:34
147,6,2024-12-31 08:07:40
147,11,2025-07-29 22:20:40
148,5,2024-06-30 00:03:55
148,7,2024-10-28 04:38:11
149,7,2025-09-08 11:35:09
149,10,2024-02-03 06:37:45
149,14,2025-09-18 08:02:33
150,2,2025-05-23 05:07:14
151,2,2024-08-31 12:37:37
152,2,2025-04-02 00:24:53
152,11,2025-10-16 12:13:27
152,12,2024-09-28 07:38:03
152,14,2024-09-12 02:28:05
153,13,2024-04-20 00:02:47
154,8,2025-03-05 06:03:22
155,7,2025-01-19 03:41:34
155,8,2024-12-25 19:52:48
156,10,2024-06-15 16:25:51
156,13,2025-10-28 08:12:47
157,14,2024-02-04 10:44:14
158,5,2024-04-17 02:42:05
159,7,2024-06-13 02:43:50
160,2,2024-12-12 21:37:40
161,1,2024-06-09 01:56:59
161,3,2025-02-23 20:10:28
161,7,2024-04-13 12:03:17
161,11,2024-07-29 06:55:01
161,12,2025-09-13 15:48:31
162,9,2024-10-31 08:38:55
162,12,2024-09-28 10:14:59
163,7,2025-08-08 20:00:45
164,1,2025-03-13 03:11:25
164,3,2025-01-04 00:08:20
165,11,2025-10-02 21:51:11
166,2,2024-01-27 07:32:05
167,5,2024-03-24 17:14:31
168,5,2025-02-11 17:08:47
168,13,2025-05-15 09:38:54
169,9,2025-01-31 06:43:52
170,7,2025-01-13 06:47:35
171,5,2025-03-26 16:55:56
172,14,2024-10-02 20:32:36
173,13,2025-11-14 03:31:15
174,6,2025-07-08 15:04:22
175,1,2025-05-01 20:51:06
175,7,2024-08-29 17:20:24
175,9,2025-03-04 19:29:50
175,14,2024-11-02 02:52:28
176,14,2024-02-05 18:16:51
177,9,2025-08-08 22:35:00
178,13,2025-04-04 06:17:39
179,3,2024-05-09 01:33:13
179,4,2025-03-09 02:51:11
179,13,2025-11-30 15:51:07
180,14,2025-10-04 05:23:02
181,5,2024-03-09 03:10:06
181,6,2025-02-01 20:15:23
182,6,2024-10-09 18:55:16
183,14,2024-01-13 22:41:05
184,13,2025-03-05 04:05:48
185,3,2025-08-03 21:24:21
186,2,2024-04-18 20:29:12
187,5,2025-02-24 09:37:00
187,13,2025-07-02 12:31:11
188,8,2025-08-08 22:10:17
189,3,2024-10-09 14:40:18
190,10,2025-11-28 14:37:34
191,6,2024-08-31 01:47:40
192,5,2024-01-21 12:18:04
192,6,2024-11-06 11:19:16
193,8,2024-04-10 08:17:58
194,12,2025-03-29 11:40:56
195,7,2025-09-11 23:30:14
196,8,2024-08-04 14:49:28
197,9,2025-06-11 05:47:16
197,13,2025-01-17 02:02:47
198,12,2025-06-02 14:41:12
199,14,2025-06-20 20:42:17
200,4,2024-07-24 02:05:53
