network_interface_id,subnet_id,security_group_id,name
180,10,14,eni-staging-billing-app-180
181,14,20,eni-dev-sandbox-app-181
182,13,19,eni-dev-sandbox-web-182
183,15,19,eni-dev-sandbox-web-183
184,13,19,eni-dev-sandbox-web-184
185,16,23,eni-dev-sandbox-mon-185
186,14,21,eni-dev-sandbox-db-186
187,14,20,eni-dev-sandbox-app-187
188,16,24,eni-dev-sandbox-svc-188
189,14,21,eni-dev-sandbox-db-189
190,16,20,eni-dev-sandbox-app-190
191,16,24,eni-dev-sandbox-svc-191
192,14,23,eni-dev-sandbox-mon-192
193,16,24,eni-dev-sandbox-svc-193
194,16,23,eni-dev-sandbox-mon-194
195,14,24,eni-dev-sandbox-svc-195
196,16,24,eni-dev-sandbox-svc-196
197,16,23,eni-dev-sandbox-mon-197
198,14,20,eni-dev-sandbox-app-198
199,16,21,eni-dev-sandbox-db-199
200,16,23,eni-dev-sandbox-mon-200
